UserID,RealUser,GeneratedUser,ErrorFlag
1,1::F::1::10::48067,1::F::1::10::48067,0
2,2::M::56::16::70072,2::M::56::16::70072,0
3,3::M::25::15::55117,3::M::25::15::55117,0
4,4::F::22::7::89123,4::M::45::7::02460,1
5,5::F::2::24::10021,5::M::25::20::55455,1
6,6::F::34::14::89123,6::F::50::9::55117,1
7,7::M::38::14::89123,7::M::35::1::06810,1
8,8::M::38::14::89123,8::M::25::12::11413,1
9,9::M::25::12::11413,9::M::25::17::61614,0
10,10::M::25::18::89123,10::F::35::1::95370,1
11,11::M::25::14::89123,11::F::25::1::04093,1
12,12::M::25::1::10001,12::M::25::12::32793,1
13,13::M::25::1::10001,13::M::45::1::93304,0
14,14::M::25::1::10001,14::M::35::0::60126,1
15,15::F::25::1::10001,15::M::25::7::22903,1
16,16::F::25::1::10001,16::F::35::0::20670,1
17,17::M::25::1::10001,17::M::50::1::95350,0
18,18::M::25::1::07067,18::F::18::3::95825,1
19,19::M::25::1::89123,19::M::1::10::48073,1
20,20::M::25::1::20016,20::M::25::14::55113,1
21,21::M::25::1::20016,21::M::18::16::99353,1
22,22::M::25::1::89132,22::M::18::15::53706,1
23,23::M::25::1::89122,23::M::35::0::90049,1
24,24::M::25::1::89123,24::F::25::7::10023,1
25,25::M::25::1::89122,25::M::18::4::01609,1
26,26::M::25::1::89122,26::M::25::7::23112,1
27,27::M::25::1::89123,27::M::25::11::19130,1
28,28::M::25::1::11209,28::F::25::1::14607,1
29,29::M::25::1::10001,29::M::35::7::33407,1
30,30::M::25::1::11201,30::F::35::7::19143,1
31,31::M::25::1::10001,31::M::56::7::06840,1
32,32::M::25::1::10001,32::F::25::0::19355,1
33,33::M::25::1::10001,33::M::45::3::55421,1
34,34::M::25::1::89132,34::F::18::0::02135,1
35,35::M::25::1::11209,35::M::45::1::02482,0
36,36::M::25::1::10001,36::M::25::3::94123,1
37,37::M::25::1::89132,37::F::25::9::66212,1
38,38::M::25::1::89122,38::F::18::4::02215,1
39,39::M::25::1::10001,39::M::18::4::61820,1
40,40::M::25::1::89122,40::M::45::0::10543,1
41,41::M::25::1::10017,41::F::18::4::15116,1
42,42::M::25::1::10017,42::M::25::8::24502,1
43,43::M::35::1::10017,43::M::25::12::60614,1
44,44::M::25::1::10017,44::M::45::17::98052,1
45,45::M::25::1::89123,45::F::45::16::94110,1
46,46::M::25::1::89122,46::M::18::19::75602,1
47,47::M::25::1::89122,47::M::18::4::94305,1
48,48::M::25::1::89123,48::M::25::4::92107,0
49,49::M::25::1::89122,49::M::18::12::77084,1
50,50::M::25::1::89122,50::F::25::2::98133,1
52,52::F::35::2::94043,52::M::18::4::72212,1
53,53::F::14::4::94043,53::M::25::0::96931,1
54,54::F::35::0::94043,54::M::50::1::56723,1
55,55::F::0::0::00000,55::F::35::12::55303,1
56,56::M::22::0::94043,56::M::35::20::60440,1
57,57::M::35::1::60093,57::M::18::19::30350,1
58,58::M::25::1::94538,58::M::25::2::30303,1
59,59::M::25::1::30303,59::F::50::1::55413,1
60,60::M::35::1::55413,60::M::50::1::72118,0
61,61::M::25::1::94538,61::M::25::17::95122,0
62,62::M::35::1::94538,62::F::35::3::98105,1
63,63::M::18::4::89123,63::M::18::4::54902,0
64,64::M::50::1::98052,64::M::18::1::53706,1
65,65::M::25::1::94501,65::M::35::12::55803,1
66,66::M::50::1::55110,66::M::25::18::57706,1
67,67::M::50::1::55110,67::F::50::5::60181,1
68,68::M::18::1::55110,68::M::18::4::53706,0
69,69::M::50::1::55413,69::F::25::1::02143,1
70,70::M::50::1::02143,70::M::18::4::53703,1
71,71::M::18::4::53703,71::M::25::14::95008,1
72,72::M::18::4::53706,72::F::45::0::55122,1
73,73::M::18::4::53706,73::M::18::4::53706,0
74,74::M::18::4::53706,74::M::35::14::94530,1
75,75::M::18::4::53706,75::F::1::10::01748,1
76,76::M::18::4::53706,76::M::35::7::55413,1
77,77::M::18::4::53706,77::M::18::4::15321,0
78,78::M::18::4::53706,78::F::45::1::98029,1
79,79::M::18::4::53706,79::F::45::0::98103,1
80,80::M::18::4::53706,80::M::56::1::49327,1
81,81::M::18::4::53706,81::F::25::0::60640,1
82,82::M::18::4::53706,82::M::25::17::48380,1
83,83::M::18::4::53706,83::F::25::2::94609,1
84,84::M::18::4::53706,84::M::18::4::53140,0
85,85::M::25::1::89112,85::M::18::4::94945,1
86,86::M::18::4::53706,86::F::1::10::54467,1
87,87::M::18::4::53706,87::M::25::14::48360,1
88,88::M::18::4::53706,88::F::45::1::02476,1
89,89::M::18::4::53706,89::F::56::9::85749,1
90,90::M::18::4::53706,90::M::56::13::85749,1
91,91::F::35::1::85749,91::M::35::7::07650,1
92,92::M::18::4::55111,92::F::18::4::44243,1
93,93::M::25::14::89123,93::M::25::17::95825,1
94,94::M::18::4::55111,94::M::25::17::28601,1
95,95::M::18::4::89122,95::M::45::0::98201,1
96,96::M::25::17::89122,96::F::25::16::78028,1
97,97::M::18::4::55110,97::F::35::3::66210,1
98,98::M::18::4::55111,98::F::35::7::33547,1
99,99::M::18::4::55111,99::F::1::10::19390,1
100,100::M::18::4::55111,100::M::35::17::95401,1
102,102::F::35::9::10021,102::M::35::19::20871,1
103,103::F::23::15::10021,103::M::45::7::92104,1
104,104::F::23::14::10021,104::M::25::12::00926,1
105,105::F::23::14::10021,105::M::45::12::90277,1
106,106::F::35::14::10021,106::F::35::11::79101,1
107,107::M::35::9::10001,107::M::45::18::63129,1
108,108::M::35::7::10021,108::M::25::12::30316,1
109,109::M::35::7::89123,109::M::45::15::92028,1
110,110::M::35::7::89112,110::M::25::2::90803,1
111,111::M::35::7::89123,111::M::35::15::55416,1
112,112::M::25::7::89123,112::M::25::16::97209,0
113,113::M::35::16::89123,113::M::18::12::37032,1
114,114::M::35::16::89123,114::F::25::2::83712,1
115,115::M::35::16::89123,115::M::25::17::28083,1
116,116::M::35::14::89123,116::M::25::17::55744,1
117,117::M::25::17::89123,117::M::25::17::33314,0
118,118::M::25::17::89127,118::M::35::17::22315,0
119,119::M::25::17::89123,119::F::1::10::77515,1
120,120::M::25::17::89127,120::M::25::11::27106,1
121,121::M::25::11::89127,121::M::35::7::75229,1
122,122::M::25::17::89123,122::F::18::4::94305,1
123,123::M::25::17::89101,123::M::35::9::67208,1
124,124::M::25::9::89123,124::M::56::7::91356,1
125,125::M::35::9::89122,125::M::45::14::01701,1
126,126::M::35::14::89122,126::M::18::9::98117,1
127,127::M::35::14::89123,127::F::45::3::01770,1
128,128::M::35::14::89123,128::M::56::6::37922,1
129,129::M::35::14::89123,129::M::25::11::20164,1
130,130::M::35::14::89128,130::M::35::17::50021,1
