RowIndex,GeneratedInteraction,RealInteraction,ErrorFlag
0,1::22,1::1,1
1,1::3,1::3,0
2,1::6,1::6,0
3,1::1,1::47,1
4,1::179,1::50,1
5,1::60,1::70,1
6,1::91,1::101,1
7,1::120,1::110,0
8,1::120,1::151,1
9,1::170,1::157,0
10,1::170,1::163,1
11,1::166,1::216,0
12,1::219,1::223,1
13,1::228,1::231,1
14,1::235,1::235,0
15,1::240,1::260,0
16,1::266,1::296,0
17,1::301,1::316,0
18,1::320,1::333,1
19,1::349,1::349,0
20,1::361,1::356,0
21,1::361,1::362,0
22,1::370,1::367,0
23,1::370,1::423,1
24,1::431,1::441,0
25,1::450,1::457,0
26,1::463,1::480,1
27,1::501,1::500,0
28,1::501,1::527,1
29,1::551,1::543,1
30,1::550,1::552,0
31,1::558,1::553,0
32,1::560,1::590,0
33,1::601,1::592,1
34,1::601,1::593,1
35,1::594,1::596,0
36,1::601,1::608,0
37,1::609,1::648,1
38,1::650,1::661,1
39,1::670,1::673,0
40,1::682,1::733,1
41,1::750,1::736,1
42,1::750,1::780,0
43,1::794,1::804,1
44,1::809,1::919,1
45,1::944,1::923,1
46,1::944,1::940,0
47,1::944,1::943,0
48,1::944,1::954,0
49,1::Unknown,1::1009,1
50,1::1188,1::1023,1
51,1::1050,1::1024,1
52,1::1050,1::1025,0
53,1::1027,1::1029,0
54,1::1030,1::1030,0
55,1::1031,1::1031,0
56,1::1032,1::1032,0
57,1::1033,1::1042,1
58,1::1043,1::1049,0
59,1::1050,1::1060,0
60,1::1061,1::1073,1
61,1::1085,1::1080,0
62,1::1081,1::1089,0
63,1::1090,1::1090,0
64,1::1091,1::1092,0
65,1::1100,1::1097,1
66,1::1100,1::1127,1
67,1::1130,1::1136,0
68,1::1140,1::1196,1
69,1::1197,1::1197,0
70,1::1198,1::1198,0
71,1::1199,1::1206,1
72,1::1207,1::1208,0
73,1::1210,1::1210,0
74,1::1211,1::1213,0
75,1::1214,1::1214,0
76,1::1215,1::1219,0
77,1::1220,1::1220,0
78,1::1221,1::1222,0
79,1::1223,1::1224,0
80,1::1225,1::1226,0
81,1::1228,1::1240,1
82,1::1241,1::1256,1
83,1::126,1::1258,1
84,1::1260,1::1265,0
85,1::1267,1::1270,0
86,1::1271,1::1275,0
87,1::1280,1::1278,0
88,1::1280,1::1282,0
89,1::1285,1::1291,1
90,1::1293,1::1298,0
91,1::1300,1::1348,1
92,1::1350,1::1377,1
93,1::1380,1::1396,1
94,1::1400,1::1408,0
95,1::1410,1::1445,1
96,1::1450,1::1473,1
97,1::1480,1::1500,1
98,1::1501,1::1517,0
99,1::1520,1::1552,0
100,1::100,1::1573,1
101,1::1777,1::1580,1
102,1::1602,1::1587,1
103,1::1600,1::1617,1
104,1::1621,1::1620,0
105,1::1621,1::1625,0
106,1::1630,1::1644,1
107,1::1669,1::1676,0
108,1::1682,1::1732,1
109,1::1742,1::1777,1
110,1::1782,1::1793,1
111,1::1800,1::1804,0
112,1::1820,1::1805,0
113,1::1820,1::1920,0
114,1::1941,1::1927,1
115,1::1941,1::1954,0
116,1::1977,1::1967,0
117,1::1972,1::2000,1
118,1::2010,1::2005,0
119,1::2010,1::2012,0
120,1::2017,1::2018,0
121,1::2030,1::2028,1
122,1::2030,1::2033,0
123,1::2045,1::2046,0
124,1::2067,1::2048,1
125,1::2050,1::2054,0
126,1::2061,1::2058,1
127,1::2061,1::2078,1
128,1::2080,1::2090,0
129,1::2100,1::2093,1
130,1::2104,1::2094,0
131,1::2100,1::2096,1
132,1::2100,1::2099,1
133,1::2100,1::2105,0
134,1::211,1::2115,0
135,1::2117,1::2116,0
136,1::2120,1::2137,1
137,1::2140,1::2139,1
138,1::2140,1::2141,0
139,1::2143,1::2143,0
140,1::2145,1::2161,1
141,1::2163,1::2174,1
142,1::2180,1::2193,1
143,1::2199,1::2253,1
144,1::2254,1::2268,1
145,1::2274,1::2273,0
146,1::2275,1::2291,1
147,1::2294,1::2329,0
148,1::2331,1::2338,0
149,1::234,1::2353,1
150,1::2351,1::2366,1
151,1::2380,1::2387,0
152,1::2397,1::2389,0
153,1::2397,1::2395,0
154,1::2402,1::2406,0
155,1::2417,1::2414,0
156,1::2420,1::2427,0
157,1::2431,1::2450,1
158,1::2454,1::2459,0
159,1::2462,1::2470,1
160,1::2480,1::2478,0
161,1::2480,1::2492,1
162,1::2501,1::2502,0
163,1::2507,1::2528,1
164,1::2537,1::2529,1
165,1::2531,1::2542,1
166,1::2543,1::2571,1
167,1::2580,1::2580,0
168,1::2591,1::2596,0
169,1::2601,1::2616,0
170,1::2620,1::2617,1
171,1::2624,1::2628,0
172,1::2634,1::2640,0
173,1::2644,1::2641,0
174,1::2654,1::2644,0
175,1::2654,1::2648,0
176,1::2654,1::2654,0
177,1::2660,1::2657,1
178,1::2660,1::2692,1
179,1::2693,1::2700,1
180,1::2701,1::2716,0
181,1::2720,1::2761,1
182,1::2763,1::2797,1
183,1::2800,1::2826,1
184,1::2831,1::2858,1
185,1::2860,1::2872,1
186,1::2880,1::2899,1
187,1::2900,1::2916,1
188,1::2920,1::2944,1
189,1::2960,1::2947,1
190,1::2954,1::2948,0
191,1::2954,1::2949,0
192,1::2950,1::2959,0
193,1::2960,1::2985,1
194,1::3000,1::2987,1
195,1::3000,1::2991,1
196,1::2993,1::2993,0
197,1::2995,1::2997,0
198,1::3000,1::3033,1
199,1::3040,1::3034,0
200,1::302,1::3052,0
201,1::3054,1::3053,0
202,1::3056,1::3062,0
203,1::310,1::3147,1
204,1::3164,1::3168,0
205,1::3172,1::3176,0
206,1::3194,1::3243,1
207,1::3251,1::3247,1
208,1::3250,1::3253,0
209,1::326,1::3273,1
210,1::3274,1::3386,1
211,1::3390,1::3439,0
212,1::3458,1::3440,1
213,1::3441,1::3441,0
214,1::3442,1::3448,0
215,1::3451,1::3450,0
216,1::3451,1::3479,1
217,1::3490,1::3489,0
218,1::3490,1::3527,1
219,1::3530,1::3578,1
220,1::3591,1::3617,1
221,1::3620,1::3639,1
222,1::3640,1::3671,1
223,1::3680,1::3702,1
224,1::3703,1::3703,0
225,1::3704,1::3729,1
226,1::3730,1::3740,0
227,1::3741,1::3744,0
228,1::3745,1::3793,1
229,1::3800,1::3809,0
230,1::3810,1::4006,1
231,1::4010,1::5060,1
232,2::8,2::318,1
233,2::138,2::333,1
234,2::337,2::1704,1
235,2::1705,2::3578,1
236,2::400,2::6874,1
237,2::397,2::8798,1
238,2::Unknown,2::46970,1
239,Unknown,2::48516,1
240,2::Unknown,2::58559,1
241,2::Unknown,2::60756,1
242,2::Unknown,2::68157,1
243,2::Unknown,2::71535,1
244,2::Unknown,2::74458,1
245,2::Unknown,2::77455,1
246,2::Unknown,2::79132,1
247,2::Unknown,2::80489,1
248,2::80998,2::80906,1
249,2::81998,2::86345,1
250,2::242,2::89774,1
251,2::119,2::91529,1
252,2::10222,2::91658,1
253,2::91682,2::99114,1
254,2::1000,2::106782,1
255,2::108492,2::109487,1
256,2::110453,2::112552,1
257,2::114729,2::114060,1
258,2::114061,2::115713,1
259,2::116470,2::122882,1
260,2::124730,2::131724,1
261,3::891,3::31,1
262,3::102,3::527,1
263,3::102,3::647,1
264,3::106,3::688,1
265,3::106,3::720,1
266,3::784,3::849,0
267,3::891,3::914,0
268,3::102,3::1093,1
269,3::120,3::1124,1
270,3::114,3::1263,1
271,3::132,3::1272,1
272,3::132,3::1275,1
273,3::128,3::1302,1
274,3::131,3::1371,0
275,3::139,3::1587,1
276,3::160,3::2018,1
277,3::204,3::2080,1
278,3::2120,3::2090,1
279,3::2100,3::2105,0
280,3::2110,3::2288,1
281,3::233,3::2424,1
282,3::245,3::2851,1
283,3::2934,3::3024,1
284,3::306,3::3210,1
285,3::327,3::3703,1
286,3::374,3::3949,1
287,3::409,3::4518,1
288,3::463,3::5048,1
289,3::530,3::5181,1
290,3::5308,3::5746,1
291,3::5839,3::5764,1
292,3::5864,3::5919,1
293,3::6098,3::6238,1
294,3::637,3::6835,1
295,3::6938,3::7899,1
296,3::794,3::7991,1
297,3::8095,3::26409,1
298,3::Unknown,3::70946,1
299,3::Unknown,3::72378,1
300,4::22,4::21,1
301,4::422,4::32,1
302,4::412,4::45,1
303,4::101,4::47,1
304,4::92,4::52,1
305,4::64,4::58,1
306,4::82,4::106,1
307,4::110,4::125,1
308,4::135,4::126,1
309,4::135,4::162,1
310,4::168,4::171,1
311,4::172,4::176,0
312,4::182,4::190,1
313,4::204,4::215,1
314,4::220,4::222,0
315,4::225,4::232,0
316,4::235,4::235,0
317,4::240,4::247,0
318,4::253,4::260,1
319,4::262,4::265,0
320,4::270,4::296,1
321,4::301,4::319,0
322,4::320,4::342,0
323,4::349,4::345,0
324,4::349,4::348,0
325,4::351,4::351,0
326,4::354,4::357,0
327,4::361,4::368,0
328,4::375,4::417,1
329,4::420,4::441,1
330,4::446,4::450,1
331,4::460,4::457,1
332,4::462,4::475,1
333,4::480,4::492,1
334,4::501,4::509,0
335,4::520,4::538,1
336,4::542,4::539,1
337,4::545,4::553,0
338,4::562,4::588,1
339,4::609,4::593,1
340,4::609,4::595,1
341,4::601,4::599,1
342,4::601,4::608,0
343,4::617,4::648,1
344,4::650,4::708,1
345,4::720,4::759,1
346,4::770,4::800,1
347,4::809,4::892,0
348,4::944,4::898,1
349,4::906,4::899,1
350,4::122,4::902,1
351,4::940,4::904,0
352,4::944,4::908,1
353,4::944,4::910,1
354,4::912,4::912,0
355,4::914,4::914,0
356,4::916,4::919,0
357,4::920,4::920,0
358,4::921,4::930,1
359,4::940,4::937,1
360,4::942,4::1025,1
361,4::1027,4::1046,1
362,4::1067,4::1057,0
363,4::1060,4::1060,0
364,4::1061,4::1073,1
365,4::1080,4::1077,1
366,4::1080,4::1079,1
367,4::1080,4::1080,0
368,4::1081,4::1084,0
369,4::1090,4::1086,1
370,4::1090,4::1094,0
371,4::1100,4::1103,0
372,4::1104,4::1136,1
373,4::1140,4::1179,1
374,4::1180,4::1183,0
375,4::1190,4::1188,1
376,4::1190,4::1196,0
377,4::1200,4::1197,1
378,4::1200,4::1198,1
379,4::1200,4::1199,1
380,4::1200,4::1203,0
381,4::1204,4::1211,1
382,4::1213,4::1213,0
383,4::1214,4::1219,0
384,4::1220,4::1225,0
385,4::1227,4::1250,1
386,4::1251,4::1259,0
387,4::1260,4::1265,0
388,4::1270,4::1266,1
389,4::1270,4::1279,0
390,4::1280,4::1282,0
391,4::1285,4::1283,0
392,4::1285,4::1288,0
393,4::1290,4::1291,0
394,4::1293,4::1304,1
395,4::1305,4::1391,1
396,4::1400,4::1449,1
397,4::1450,4::1466,1
398,4::1480,4::1500,1
399,4::1501,4::1517,0
400,4::1308,4::1580,1
401,4::128,4::1597,1
402,4::1604,4::1617,1
403,4::1621,4::1641,0
404,4::1650,4::1704,1
405,4::1720,4::1719,1
406,4::1720,4::1732,0
407,4::1747,4::1733,1
408,4::1740,4::1734,0
409,4::1735,4::1834,1
410,4::1840,4::1860,0
411,4::1861,4::1883,1
412,4::1890,4::1885,1
413,4::1890,4::1892,0
414,4::1900,4::1895,1
415,4::1901,4::1907,0
416,4::1910,4::1914,0
417,4::1920,4::1916,1
418,4::1920,4::1923,0
419,4::1925,4::1947,1
420,4::1951,4::1966,1
421,4::1971,4::1967,0
422,4::1970,4::1968,1
423,4::1970,4::2019,1
424,4::2020,4::2076,1
425,4::2080,4::2078,0
426,4::2080,4::2109,1
427,4::2110,4::2145,1
428,4::2161,4::2150,1
429,4::2151,4::2174,1
430,4::2180,4::2186,0
431,4::2190,4::2203,1
432,4::2204,4::2204,0
433,4::2205,4::2282,1
434,4::2290,4::2324,1
435,4::2330,4::2336,0
436,4::2340,4::2351,1
437,4::2354,4::2359,0
438,4::2360,4::2390,0
439,4::2400,4::2395,1
440,4::2400,4::2406,0
441,4::2410,4::2467,1
442,4::2470,4::2571,1
443,4::2574,4::2583,1
444,4::2590,4::2599,0
445,4::2600,4::2628,1
446,4::2630,4::2683,0
447,4::2694,4::2692,0
448,4::2704,4::2712,1
449,4::2731,4::2762,1
450,4::268,4::2763,1
451,4::2811,4::2770,1
452,4::2811,4::2791,1
453,4::2802,4::2843,1
454,4::2851,4::2858,0
455,4::2868,4::2874,1
456,4::2880,4::2921,1
457,4::2942,4::2926,0
458,4::2941,4::2959,1
459,4::2969,4::2973,1
460,4::3000,4::2997,1
461,4::3000,4::3033,1
462,4::3041,4::3044,0
463,4::3061,4::3060,0
464,4::3068,4::3079,1
465,4::3090,4::3083,1
466,4::3090,4::3160,1
467,4::3165,4::3175,0
468,4::3191,4::3176,1
469,4::3191,4::3204,1
470,4::3214,4::3255,1
471,4::3264,4::3317,1
472,4::3320,4::3358,1
473,4::3360,4::3365,0
474,4::3370,4::3386,1
475,4::3394,4::3408,1
476,4::3420,4::3481,1
477,4::3490,4::3489,0
478,4::3494,4::3508,1
479,4::3514,4::3538,1
480,4::3549,4::3591,0
481,4::3604,4::3788,1
482,4::383,4::3809,1
483,4::3831,4::3851,0
484,4::3859,4::3897,0
485,4::3908,4::3911,1
486,4::3920,4::3967,1
487,4::3970,4::3996,1
488,4::4000,4::4002,0
489,4::4008,4::4014,1
490,4::4025,4::4020,0
491,4::4040,4::4021,1
492,4::4040,4::4027,1
493,4::4040,4::4029,1
494,4::4030,4::4033,0
495,4::4040,4::4034,0
496,4::4040,4::4074,0
497,4::4090,4::4121,1
498,4::4123,4::4144,1
499,4::4160,4::4166,0
500,4::100,4::4226,1
501,4::428,4::4239,1
502,4::4244,4::4246,0
503,4::4257,4::4252,0
504,4::4254,4::4260,1
505,4::4284,4::4273,1
506,4::4284,4::4308,1
507,4::4319,4::4347,1
508,4::4350,4::4381,1
509,4::4409,4::4641,1
510,4::466,4::4741,1
511,4::4758,4::4765,0
512,4::4778,4::4881,1
513,4::4944,4::4896,1
514,4::4917,4::4902,1
515,4::4917,4::4967,0
516,5::100,5::1,1
517,5::2,5::21,0
518,5::24,5::34,1
519,5::43,5::36,1
520,5::43,5::39,1
521,5::40,5::50,1
522,5::52,5::58,1
523,5::61,5::110,1
524,5::120,5::150,0
525,5::166,5::153,1
526,5::155,5::232,1
527,5::246,5::247,0
528,5::260,5::253,1
529,5::260,5::261,0
530,5::266,5::265,0
531,5::268,5::266,0
532,5::270,5::290,0
533,5::300,5::296,1
534,5::301,5::300,0
535,5::302,5::316,1
