RowIndex,GeneratedInteraction,RealInteraction,ErrorFlag
0,1::MALICE MIZER,1::MALICE MIZER,0
1,2::Diary of Dreams,2::Diary of Dreams,0
2,3::Carpathian Forest,3::Carpathian Forest,0
3,4::KMFDM,4::Moi dix Mois,1
4,5::Lacuna Coil,5::Bella Morte,1
5,6::The 69 Eyes,6::Moonspell,1
6,7::Lacuna Coil,7::Marilyn Manson,1
7,8::The 69 Eyes,8::DIR EN GREY,1
8,9::Lacuna Coil,9::Combichrist,1
9,10::The 69 Eyes,10::Grendel,1
10,11::The 69 Eyes,11::Agonoize,1
11,12:Unknown,12::Behemoth,1
12,13:Unknown,13::Hocico,1
13,Unknown,15::Dimmu Borgir,1
14,16::Rammstein,16::London After Midnight,1
15,17::The 69 Eyes,17::Psyclon Nine,1
16,18::Rammstein,18::The Crüxshadows,1
17,19::Assemblage 23,19:::wumpscut:,1
18,20::Assemblage 23,20::Limbonic Art,1
19,Unknown,21::Artista sconosciuto,1
20,22::Unknown,22::xotox,1
21,23::Society Burning,23::The Kovenant,1
22,24::Samael,24::Feindflug,1
23,Unknown,25::Cradle of Filth,1
24,26::Samsas Traum,26::Tamtrum,1
25,27::Samsas Traum,27::Laibach,1
26,28::Samsas Traum,28::Gorgoroth,1
27,30::Samael,30::And One,1
28,31::Samsas Traum,31::Amduscia,1
29,32::Samsas Traum,32::Covenant,1
30,34::Samsas Traum,34::Icon of Coil,1
31,36::Samsas Traum,36::KMFDM,1
32,37::Society Burning,37::Funker Vogt,1
33,38::Assemblage 23,38::Dawn of Ashes,1
34,39::Society Burning,39::Sopor Aeternus & The Ensemble of Shadows,1
35,40::Assemblage 23,40::The Faint,1
36,41::Assemblage 23,41::God Module,1
37,43::Assemblage 23,43::Noisuf-X,1
38,44::Assemblage 23,44::Das Ich,1
39,45::Assemblage 23,45::Mindless Self Indulgence,1
40,46::Assemblage 23,46::Pyotr Ilyich Tchaikovsky,1
41,47::Assemblage 23,47::Emperor,1
42,48::Assemblage 23,48::Anorexia Nervosa,1
43,49::Sawt Kaif,49::Reaper,1
44,50::Assemblage 23,50::Gothminister,1
45,51::Saw this artist is not in the HetRec 2011 dataset,51::Duran Duran,1
46,52::Saw this artist is not in the HetRec 2011 dataset,52::Morcheeba,1
47,53::Unknown,53::Air,1
48,54::Unknown,54::Hooverphonic,1
49,55::UNKOWN,55::Kylie Minogue,1
50,Unknown,56::Daft Punk,1
51,Unknown,57::Thievery Corporation,1
52,Unknown,58::Goldfrapp,1
53,59::UNKOWN,59::New Order,1
54,60::UNKOWN,60::Matt Bianco,1
55,61::The Young Gods,61::Talk Talk,1
56,62::The Young Gods,62::Prefab Sprout,1
57,63::The The,63::Enigma,1
58,64::The The,64::Röyksopp,1
59,65::Air,65::Coldplay,1
60,66::UNKOWN,66::Faithless,1
61,67::Air,67::Madonna,1
62,68::Air,68::Icehouse,1
63,69::The Chemical Brothers,69::Sade,1
64,70::The Chemical Brothers,70::Moby,1
65,71::Air,71::Dido,1
66,72::Air,72::Depeche Mode,1
67,73::Air,73::Café Del Mar,1
68,74::Air,74::Basia,1
69,75::Air,75::Camouflage,1
70,76::Lighthouse Family,76::Electronic,1
71,77::Air,77::George Michael,1
72,78::Air,78::The Adventures,1
73,79::Lighthouse Family,79::Fiction Factory,1
74,80::The Beloved,80::Groove Armada,1
75,81::Air,81::Portishead,1
76,82::Air,82::Marc Almond,1
77,83::Lighthouse Family,83::Cock Robin,1
78,84::The Beloved,84::Cut Copy,1
79,85::Air,85::Spandau Ballet,1
80,86::The Beloved,86::Katie Melua,1
81,87::Air,87::Deacon Blue,1
82,88::The Beloved,88::Gorillaz,1
83,89::Air,89::Lady Gaga,1
84,90::Air,90::Kosheen,1
85,91::Air,91::Nik Kershaw,1
86,92::The Human League,92::Vitamin Z,1
87,93::The Human League,93::Jean-Michel Jarre,1
88,94::The Human League,94::Ministry of Sound,1
89,95::The Human League,95::Simply Red,1
90,96::The Beloved,96::Fleetwood Mac,1
91,97::Air,97::Duffy,1
92,98::The Human League,98::Japan,1
93,99::The Human League,99::INXS,1
94,100::The Human League,100::ABC,1
95,Unknown,101::Pleq,1
96,Unknown,102::Segue,1
97,103::The Cinematic Orchestra,103::Max Richter,1
98,104::Air,104::Celer,1
99,Unknown,105::Pjusk,1
100,Unknown,106::Pleq & Segue,1
101,107::The Young Gods,107::Burial,1
102,108::Aphrodite's Child,108::Magnitophono,1
103,109::The Young Gods,109::andy graydon,1
104,Unknown,110::ddekombinacja,1
105,111::Kettel,111::Pleq & Anna Rose Carter,1
106,112::Pleq,112::Go Koyashiki,1
107,113::Pleq,113::Dustin O'Halloran,1
108,114::Pleq,114::offthesky,1
109,115::The Gentle Art of Chokin',115::Nebulo,1
110,116::Arovane,116::Fjordne,1
111,117::Arovane,117::Pleq & Chihiro,1
112,118::Arovane,118::Spyweirdos,1
113,119::Pleq & Arovane,119::billy gomberg + offthesky,1
114,Unknown,120::Deru,1
115,121::Pleq & Arovane,121::Lukid,1
116,122::Pleq & Arovane,122::Manekinekod,1
117,123::Pleq & Arovane,123::Danny Norbury,1
118,124::offthesky & billy gomberg,124::Shinkei & Mise En Scene,1
119,Unknown,125::aslope,1
120,126::Pleq & Arovane,126::The Notwist,1
121,127::Pleq & Arovane,127::Off the Sky,1
122,128::Biosphere,128::strom noir,1
123,129::offthesky & billy gomberg,129::Aless,1
124,130::offthesky & billy gomberg,130::Philippe Lamy,1
125,131::offthesky & billy gomberg,131::Part Timer,1
126,132::The Album Leaf,132::Deaf Center,1
127,133::Stars as Weapons,133::Lauki,1
128,134::Machinedrum,134::Big Brotherz,1
129,135::Mansur,135::cokiyu,1
130,136::Matsuei,136::Verbose,1
131,137::Matsuei,137::Worm Is Green,1
132,138::Matsuei,138::Library Tapes,1
133,139::Hior Chronik,139::Richard Skelton,1
134,140::Hior Chronik,140::Matryoshka,1
135,141::Hior,141::Aidan Baker,1
136,142::The Gentleman Losers,142::Ylid,1
137,143::Hior,143::Daisuke Miyatani,1
138,144::Hior,144::Dakota Suite,1
139,145::The Gentleman Losers,145::Ryonkt,1
140,146::Hior,146::Hird,0
141,147::Mariusz Duda,147::Svarte Greiner,1
142,148::Mariusz Duda,148::The Boats,1
143,149::Mariusz Duda,149::The Sound Of Lucrecia,1
144,150::The Gentleman Losers,150::Porzellan,1
145,151::Mariusz Duda,151::Deep Forest,1
146,152::The Gentleman Losers,152::Porcupine Tree,1
147,153::The Album Leaf,153::De/Vision,1
148,154::The Gentleman Losers,154::Radiohead,1
149,155::The Album Leaf,155::Robbie Williams,1
150,156::The Gathering,156::VAST,1
151,157::Lacuna Coil,157::Michael Jackson,1
152,158::Lacuna Coil,158::עברי לידר,1
153,159::The Gathering,159::The Cure,1
154,160::The Gathering,160::אביב גפן,1
155,161::The Sisters of Mercy,161::Enrique Iglesias,1
156,162::Rammstein,162::God Is an Astronaut,1
157,163::The Gathering,163::Pink Floyd,1
158,164::The Gathering,164::יוני בלוך,1
159,165::Within Temptation,165::Planet Funk,1
160,166::The Gathering,166::The Cranberries,1
161,167::The Sisters of Mercy,167::Scissor Sisters,1
162,168::The Sisters of Mercy,168::דניאל סלומון,1
163,169::The Cardigans,169::אביתר בנאי,1
164,170::The Sisters of Mercy,170::Mew,1
165,171::The Cardigans,171::Stereophonics,1
166,172::The Cardigans,172::Garbage,1
167,173::The Cardigans,173::Placebo,1
168,174::The Cardigans,174::Infected Mushroom,1
169,175::The Cardigans,175::Delerium,1
170,176::The Cardigans,176::Scorpions,1
171,177::Within Temptation,177::Rock Star Supernova,1
172,178::Within Temptation,178::Dolores O'Riordan,1
173,179::The Cardigans,179::Tommy Lee,1
174,180::The Gathering,180::Roxette,1
175,181::Within Temptation,181::Paradise Lost,1
176,182::Within Temptation,182::Keane,1
177,183::Within Temptation,183::Jamiroquai,1
178,184::Within Temptation,184::James Blunt,1
179,185::Within Temptation,185::Reamonn,1
180,186::Within Temptation,186::Blackfield,1
181,187::Within Temptation,187::a-ha,1
182,188::Within Temptation,188::Opeth,1
183,189::Within Temptation,189::Poets of the Fall,1
184,190::Within Temptation,190::Muse,1
185,191::Within Temptation,191::OneRepublic,1
186,192::Within Temptation,192::Elton John,1
187,193::Within Temptation,193::Tears for Fears,1
188,194::Within Temptation,194::The Tiger Lillies,1
189,195::The Cardigans,195::Bright Eyes,1
190,196::The Cardigans,196::Beirut,1
191,197::The National,197::Tom Waits,1
192,198::The National,198::System of a Down,1
193,199::The Cardigans,199::Arcade Fire,1
194,200::The National,200::Gogol Bordello,1
195,201::The National,201::Ленинград,1
196,202::The Cardigans,202::CAKE,1
197,203::The Cardigans,203::Blur,1
198,204::The Cardigans,204::Damien Rice,1
199,205::The Cardigans,205::Andrew Bird,1
200,206::The Gathering,206::Beck,1
201,207::Lacuna Coil,207::Arctic Monkeys,1
202,208::The Cinematic Orchestra,208::Babyshambles,1
203,209::The Cooper Temple Clause,209::My Chemical Romance,1
204,210::The Strokes,210::Bloc Party,1
205,211::The Strokes,211::The Decemberists,1
206,212::The Strokes,212::Bob Dylan,1
207,213::The Strokes,213::Jacques Brel,1
208,214::The National,214::DeVotchKa,1
209,215::The Cinematic Orchestra,215::Jeff Buckley,1
210,216::The Cinematic Orchestra,216::Sparklehorse,1
211,217::The National,217::Death Cab for Cutie,1
212,218::The National,218::Man Man,1
213,219::The National,219::M. Ward,1
214,220::The National,220::Red Hot Chili Peppers,1
215,221::The Strokes,221::Travis,1
216,222::The Strokes,222::Modest Mouse,1
217,223::The Strokes,223::Band of Horses,1
218,224::The National,224::Yeong-wook Jo,1
219,225::The Cinematic Orchestra,225::Interpol,1
220,226::The Strokes,226::Queens of the Stone Age,1
221,227::The Strokes,227::The Beatles,1
222,228::The National,228::Kings of Leon,1
223,229::The National,229::The Killers,1
224,230::The Strokes,230::Green Day,1
225,231::The Strokes,231::Devendra Banhart,1
226,232::The Strokes,232::Sunset Rubdown,1
227,233::The National,233::Nine Inch Nails,1
228,234::The National,234::Nirvana,1
229,235::The Strokes,235::Eels,1
