MovieID,GeneratedTitle,RealTitle,ErrorFlag
1,Toy Story,Toy Story (1995),0
2,Jumanji,Jumanji (1995),1
3,Grumpier Old Men,Grumpier Old Men (1995),0
4,9 Months to Midnight,Waiting to Exhale (1995),1
5,Father of the Bride Part II,Father of the Bride Part II (1995),0
6,Sabrina,Heat (1995),1
7,Get Shorty,Sabrina (1995),1
8,Pocahontas,Tom and Huck (1995),1
9,Get Shorty,Sudden Death (1995),1
10,GoldenEye,GoldenEye (1995),0
11,Get Shorty,"American President, The (1995)",1
12,Get Shorty,Dracula: Dead and Loving It (1995),1
13,Get Shorty,Balto (1995),1
14,Get Shorty,Nixon (1995),1
15,Get Shorty,Cutthroat Island (1995),1
16,Pocahontas,Casino (1995),1
17,Get Shorty,Sense and Sensibility (1995),1
18,Money Train,Four Rooms (1995),1
19,Get Shorty,Ace Ventura: When Nature Calls (1995),1
20,Get Shorty,Money Train (1995),1
21,Get Shorty,Get Shorty (1995),0
22,Underneath the Lintel,Copycat (1995),1
23,Pocahontas,Assassins (1995),1
24,Pocahontas,Powder (1995),1
25,Babe,Leaving Las Vegas (1995),1
26,Money Train,Othello (1995),1
27,Showgirls,Now and Then (1995),1
28,Pocahontas,Persuasion (1995),1
29,"Getaway, The","City of Lost Children, The (CitÃ© des enfants perdus, La) (1995)",1
30,"Getaway, The",Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1
31,"Getaway, The",Dangerous Minds (1995),1
32,Apollo 13,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1
34,Get Shorty,Babe (1995),1
36,"Getaway, The",Dead Man Walking (1995),1
38,Get Shorty,It Takes Two (1995),1
39,Get Shorty,Clueless (1995),1
40,Get on the Bus,"Cry, the Beloved Country (1995)",1
41,Get Shorty,Richard III (1995),1
42,Get Shorty,Dead Presidents (1995),1
43,Get on the Bus,Restoration (1995),1
44,Get Shorty,Mortal Kombat (1995),1
45,Get Shorty,To Die For (1995),1
46,Get Shorty,How to Make an American Quilt (1995),1
47,"Getaway, The",Seven (a.k.a. Se7en) (1995),1
48,Get Shorty,Pocahontas (1995),1
49,Get Shorty,When Night Is Falling (1995),1
50,Get Shorty,"Usual Suspects, The (1995)",1
52,Get Shorty,Mighty Aphrodite (1995),1
53,"Getaway, The",Lamerica (1994),1
54,"Getaway, The","Big Green, The (1995)",1
55,55:Unknown,Georgia (1995),1
57,Getaway,Home for the Holidays (1995),1
58,Money Train,"Postman, The (Postino, Il) (1994)",1
60,"Getaway, The","Indian in the Cupboard, The (1995)",1
61,Pocahontas,Eye for an Eye (1996),1
62,Kiss of the Dragon,Mr. Holland's Opus (1995),1
63,Money Train,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1
64,Flirting with Disaster,Two if by Sea (1996),1
65,The Rock,Bio-Dome (1996),1
66,Jack,Lawnmower Man 2: Beyond Cyberspace (1996),1
68,Sling Blade,French Twist (Gazon maudit) (1995),1
69,Set It Off,Friday (1995),1
70,Get Shorty,From Dusk Till Dawn (1996),1
71,Jack,Fair Game (1995),1
72,Get Shorty,Kicking and Screaming (1995),1
73,Get Shorty,"MisÃ©rables, Les (1995)",1
74,Get Shorty,Bed of Roses (1996),1
75,Set It Off,Big Bully (1996),1
76,Escape from L.A.,Screamers (1995),1
77,Two Much,Nico Icon (1995),1
78,Twister,"Crossing Guard, The (1995)",1
79,Get Shorty,"Juror, The (1996)",1
80,Set It Off,"White Balloon, The (Badkonake sefid) (1995)",1
81,Get Shorty,Things to Do in Denver When You're Dead (1995),1
82,Get Shorty,Antonia's Line (Antonia) (1995),1
83,Get Shorty,Once Upon a Time... When We Were Colored (1995),1
85,Get Shorty,Angels and Insects (1995),1
86,Get Shorty,White Squall (1996),1
87,Get Shorty,Dunston Checks In (1996),1
88,Get Shorty,Black Sheep (1996),1
89,Set It Off,Nick of Time (1995),1
92,Set It Off,Mary Reilly (1996),1
93,Get Shorty,Vampire in Brooklyn (1995),1
94,Get Shorty,Beautiful Girls (1996),1
95,Get Shorty,Broken Arrow (1996),1
96,The Rock,In the Bleak Midwinter (1995),1
97,Get Shorty,"Hate (Haine, La) (1995)",1
99,Get Shorty,Heidi Fleiss: Hollywood Madam (1995),1
100,Get Shorty,City Hall (1996),1
101,Get Shorty,Bottle Rocket (1996),1
102,Get Shorty,Mr. Wrong (1996),1
103,Two Much,Unforgettable (1996),1
104,Getting Even with Dad,Happy Gilmore (1996),1
105,Marvin's Room,"Bridges of Madison County, The (1995)",1
106,Get Shorty,Nobody Loves Me (Keiner liebt mich) (1994),1
107,Get Shorty,Muppet Treasure Island (1996),1
108,Getting Away with Murder,Catwalk (1996),1
110,Two Much,Braveheart (1995),1
111,Get Shorty,Taxi Driver (1976),1
112,Get Shorty,Rumble in the Bronx (Hont faan kui) (1995),1
113,113:Unknown,Before and After (1996),1
116,The Rock,Anne Frank Remembered (1995),1
117,The Secret Agent,"Young Poisoner's Handbook, The (1995)",1
118,Kicking and Screaming,If Lucy Fell (1996),1
119,Sling Blade,"Steal Big, Steal Little (1995)",1
121,Money Train,"Boys of St. Vincent, The (1992)",1
122,"Getaway, The",Boomerang (1992),1
123,Passenger 57,Chungking Express (Chung Hing sam lam) (1994),1
125,Crimson Tide,Flirting With Disaster (1996),1
126,"Getaway, The","NeverEnding Story III, The (1994)",1
128,Crimson Tide,Jupiter's Wife (1994),1
129,Pocahontas,Pie in the Sky (1996),1
132,Crimson Tide,Jade (1995),1
135,"Getaway, The",Down Periscope (1996),1
137,Kicking and Screaming,Man of the Year (1995),1
140,Kiss of the Dragon,Up Close and Personal (1996),1
141,Two Much,"Birdcage, The (1996)",1
144,Two Much,"Brothers McMullen, The (1995)",1
145,Get Shorty,Bad Boys (1995),1
146,Get Shorty,"Amazing Panda Adventure, The (1995)",1
147,Get Shorty,"Basketball Diaries, The (1995)",1
148,Get Shorty,"Awfully Big Adventure, An (1995)",1
149,"Getaway, The",Amateur (1994),1
150,"Getaway, The",Apollo 13 (1995),1
151,"Getaway, The",Rob Roy (1995),1
152,"Getaway, The","Addiction, The (1995)",1
153,Get Shorty,Batman Forever (1995),1
154,"Getaway, The",Beauty of the Day (Belle de jour) (1967),1
155,Crimson Tide,Beyond Rangoon (1995),1
156,"Getaway, The",Blue in the Face (1995),1
157,Money Train,Canadian Bacon (1995),1
158,Crimson Tide,Casper (1995),1
159,Crimson Tide,Clockers (1995),1
160,Crimson Tide,Congo (1995),1
161,Copycat,Crimson Tide (1995),1
162,"Getaway, The",Crumb (1994),1
163,Cutthroat Island,Desperado (1995),1
164,Dolores Claiborne,Devil in a Blue Dress (1995),1
165,Dolores Claiborne,Die Hard: With a Vengeance (1995),1
166,Dolores Claiborne,"Doom Generation, The (1995)",1
168,"Getaway, The",First Knight (1995),1
169,"Getaway, The",Free Willy 2: The Adventure Home (1995),1
170,Get Shorty,Hackers (1995),1
171,Get Shorty,Jeffrey (1995),1
172,Kiss of the Dragon,Johnny Mnemonic (1995),1
173,Kiss of the Dragon,Judge Dredd (1995),1
174,Kiss of the Dragon,Jury Duty (1995),1
175,Kiss of the Dragon,Kids (1995),1
176,Kiss of the Dragon,Living in Oblivion (1995),1
177,Money Train,Lord of Illusions (1995),1
178,The Man Who Knew Too Little,Love & Human Remains (1993),1
179,The Addiction,Mad Love (1995),1
180,Dead Beat,Mallrats (1995),1
181,Man of the House,Mighty Morphin Power Rangers: The Movie (1995),1
183,Money Train,Mute Witness (1994),1
184,Naked Gun 33 1/3: The Final Insult,Nadja (1994),1
185,New Money,"Net, The (1995)",1
186,New Nightmare,Nine Months (1995),1
187,Now and Then,Party Girl (1995),1
188,Pocahontas,"Prophecy, The (1995)",1
189,Pumpkinhead II: Blood Wings,Reckless (1995),1
190,S.F.W.,Safe (1995),1
191,Scream,"Scarlet Letter, The (1995)",1
193,Showgirls,Showgirls (1995),0
194,Sling Blade,Smoke (1995),1
195,Something to Talk About,Something to Talk About (1995),0
196,Sudden Death,Species (1995),1
198,Sudden Death,Strange Days (1995),1
199,Sudden Death,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1
201,Waterworld,Three Wishes (1995),1
202,Tom and Huck,Total Eclipse (1995),1
203,Underneath the Lintel,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1
204,Underneath the Lintel,Under Siege 2: Dark Territory (1995),1
205,Unstrung Heroes,Unstrung Heroes (1995),0
206,Virtuosity,Unzipped (1995),1
207,Virtuosity,"Walk in the Clouds, A (1995)",1
208,Waterworld,Waterworld (1995),0
209,While You Were Sleeping,White Man's Burden (1995),1
210,Wings of Courage (Ailes sur le ciel),Wild Bill (1995),1
211,William Shakespeare's Romeo + Juliet,"Browning Version, The (1994)",1
212,"Getaway, The",Bushwhacked (1995),1
213,Crimson Tide,Burnt by the Sun (Utomlyonnye solntsem) (1994),1
214,Crimson Tide,Before the Rain (Pred dozhdot) (1994),1
215,Crimson Tide,Before Sunrise (1995),1
216,Crimson Tide,Billy Madison (1995),1
217,Crimson Tide,"Babysitter, The (1995)",1
218,Crimson Tide,Boys on the Side (1995),1
219,Crimson Tide,"Cure, The (1995)",1
220,Crimson Tide,Castle Freak (1995),1
222,Crimson Tide,Circle of Friends (1995),1
223,Crimson Tide,Clerks (1994),1
224,Crimson Tide,Don Juan DeMarco (1995),1
225,Dolores Claiborne,Disclosure (1994),1
227,Dolores Claiborne,Drop Zone (1994),1
228,Ed,Destiny Turns on the Radio (1995),1
229,Dolores Claiborne,Death and the Maiden (1994),1
230,Dolores Claiborne,Dolores Claiborne (1995),0
231,Ed,Dumb & Dumber (Dumb and Dumber) (1994),1
232,Ed,Eat Drink Man Woman (Yin shi nan nu) (1994),1
233,Ed,Exotica (1994),1
234,Get Shorty,Exit to Eden (1994),1
235,Get Shorty,Ed Wood (1994),1
236,Crimson Tide,French Kiss (1995),1
237,Get Shorty,Forget Paris (1995),1
238,Get Shorty,Far From Home: The Adventures of Yellow Dog (1995),1
239,Get Shorty,"Goofy Movie, A (1995)",1
240,Get Shorty,Hideaway (1995),1
241,Money Train,Fluke (1995),1
242,Get Shorty,Farinelli: il castrato (1994),1
243,Get Shorty,Gordy (1995),1
246,Get Shorty,Hoop Dreams (1994),1
247,Get Shorty,Heavenly Creatures (1994),1
248,Get Shorty,Houseguest (1994),1
249,I Love Trouble,Immortal Beloved (1994),1
250,I.Q.,Heavyweights (Heavy Weights) (1995),1
251,I Love Trouble,"Hunted, The (1995)",1
252,Money Train,I.Q. (1994),1
253,It Could Happen to You,Interview with the Vampire: The Vampire Chronicles (1994),1
254,It Could Happen to You,Jefferson in Paris (1995),1
255,Kiss of the Dragon,"Jerky Boys, The (1995)",1
256,Kiss of the Dragon,Junior (1994),1
257,Kiss of the Dragon,Just Cause (1995),1
258,Kiss of the Dragon,"Kid in King Arthur's Court, A (1995)",1
259,Kiss of the Dragon,Kiss of Death (1995),1
260,Kicking and Screaming,Star Wars: Episode IV - A New Hope (1977),1
261,Kiss of the Dragon,Little Women (1994),1
262,Lone Star,"Little Princess, A (1995)",1
263,Man of the House,Ladybird Ladybird (1994),1
265,Maverick,Like Water for Chocolate (Como agua para chocolate) (1992),1
266,Lone Star,Legends of the Fall (1994),1
267,Lone Star,Major Payne (1995),1
269,Maverick,My Crazy Life (Mi vida loca) (1993),1
270,Maverick,Love Affair (1994),1
271,Maverick,Losing Isaiah (1995),1
272,Maverick,"Madness of King George, The (1994)",1
273,Maverick,Mary Shelley's Frankenstein (Frankenstein) (1994),1
274,Maverick,Man of the House (1995),1
275,Mighty Aphrodite,Mixed Nuts (1994),1
276,Money Train,Milk Money (1994),1
277,Money Train,Miracle on 34th Street (1994),1
278,Money Train,Miami Rhapsody (1995),1
279,Money Train,My Family (1995),1
280,Money Train,Murder in the First (1995),1
281,Money Train,Nobody's Fool (1994),1
282,"New Age, The",Nell (1994),1
283,New Moon,New Jersey Drive (1995),1
284,"Net, The",New York Cop (NyÃ» YÃ´ku no koppu) (1993),1
285,Now and Then,Beyond Bedlam (1993),1
287,Once Were Warriors,Nina Takes a Lover (1994),1
288,North,Natural Born Killers (1994),1
289,The Bridges of Madison County,Only You (1994),1
290,Get Shorty,Once Were Warriors (1994),1
291,Get Shorty,Poison Ivy II (1996),1
292,The Addiction,Outbreak (1995),1
293,Apollo 13,LÃ©on: The Professional (a.k.a. The Professional) (LÃ©on) (1994),1
294,Apollo 13,"Perez Family, The (1995)",1
295,Get Shorty,"Pyromaniac's Love Story, A (1995)",1
296,Get Shorty,Pulp Fiction (1994),1
298,Get Shorty,Pushing Hands (Tui shou) (1992),1
299,Get Shorty,Priest (1994),1
300,Get Shorty,Quiz Show (1994),1
301,Get Shorty,Picture Bride (Bijo photo) (1994),1
302,Pocahontas,"Queen Margot (Reine Margot, La) (1994)",1
303,Pigeon Island,"Quick and the Dead, The (1995)",1
304,Get Shorty,Roommates (1995),1
305,Get Shorty,Ready to Wear (Pret-A-Porter) (1994),1
306,Get Shorty,Three Colors: Red (Trois couleurs: Rouge) (1994),1
307,Get Shorty,Three Colors: Blue (Trois couleurs: Bleu) (1993),1
308,Three Colors: White (Trois couleurs: Blanc),Three Colors: White (Trzy kolory: Bialy) (1994),1
310,Get Shorty,Rent-a-Kid (1995),1
311,Get Shorty,Relative Fear (1994),1
312,S.F.W.,Stuart Saves His Family (1995),1
313,S.F.W.,"Swan Princess, The (1994)",1
314,S.F.W.,"Secret of Roan Inish, The (1994)",1
315,S.F.W.,"Specialist, The (1994)",1
316,Something to Talk About,Stargate (1994),1
317,Something to Talk About,"Santa Clause, The (1994)",1
318,Getting Even with Dad,"Shawshank Redemption, The (1994)",1
319,Getting Even with Dad,Shallow Grave (1994),1
320,S.F.W.,Suture (1993),1
321,S.F.W.,Strawberry and Chocolate (Fresa y chocolate) (1993),1
322,S.F.W.,Swimming with Sharks (1995),1
324,Sommersby,"Sum of Us, The (1994)",1
325,S.F.W.,National Lampoon's Senior Trip (1995),1
326,S.F.W.,To Live (Huozhe) (1994),1
327,Virtuosity,Tank Girl (1995),1
328,Crimson Tide,Tales from the Crypt Presents: Demon Knight (1995),1
329,Crimson Tide,Star Trek: Generations (1994),1
330,Crimson Tide,Tales from the Hood (1995),1
331,Crimson Tide,Tom & Viv (1994),1
332,Virtuosity,Village of the Damned (1995),1
333,Virtuosity,Tommy Boy (1995),1
334,Virtuosity,Vanya on 42nd Street (1994),1
335,Virtuosity,Underneath (1995),1
336,Virtuosity,"Walking Dead, The (1995)",1
337,Virtuosity,What's Eating Gilbert Grape (1993),1
338,Wings of Courage (Ailes sur mémoire),Virtuosity (1995),1
339,Wings of Courage (Ailes sur mémoire),While You Were Sleeping (1995),1
340,Wings of Courage (Ailes sur mémoire),"War, The (1994)",1
341,"Witch, The",Double Happiness (1994),1
343,The Bridges of Madison County,"Baby-Sitters Club, The (1995)",1
344,Get Shorty,Ace Ventura: Pet Detective (1994),1
345,Apollo 13,"Adventures of Priscilla, Queen of the Desert, The (1994)",1
346,Crimson Tide,Backbeat (1993),1
347,Clerks,Bitter Moon (1992),1
348,Boiling Point,Bullets Over Broadway (1994),1
349,Clerks,Clear and Present Danger (1994),1
350,Crimson Tide,"Client, The (1994)",1
351,Crimson Tide,"Corrina, Corrina (1994)",1
352,Crimson Tide,Crooklyn (1994),1
353,Crumb,"Crow, The (1994)",1
354,Crumb,Cobb (1994),1
355,Crumb,"Flintstones, The (1994)",1
356,Get Shorty,Forrest Gump (1994),1
357,Get Shorty,Four Weddings and a Funeral (1994),1
358,Get Shorty,Higher Learning (1995),1
359,Get Shorty,I Like It Like That (1994),1
