RowIndex,GeneratedInteraction,RealInteraction,ErrorFlag
0,Unknown,1::1193,1
1,Unknown,1::661,1
2,1::914,1::914,0
3,1::1193,1::3408,1
4,1::3408,1::2355,1
5,1::3408,1::1197,1
6,1::661,1::1287,1
7,1::1141,1::2804,1
8,1::2355,1::594,1
9,1::1141,1::919,1
10,1::1231,1::595,1
11,1::1287,1::938,1
12,1::1197,1::2398,1
13,1::1197,1::2918,1
14,1::1181,1::1035,1
15,1::1035,1::2791,1
16,1::1035,1::2687,1
17,1::1036,1::2018,1
18,1::1036,1::3105,1
19,1::1036,1::2797,1
20,1::2019,1::2321,1
21,1::1038,1::720,1
22,1::1038,1::1270,1
23,1::1036,1::527,1
24,1::1038,1::2340,1
25,1::1038,1::48,1
26,1::1038,1::1097,1
27,1::1033,1::1721,1
28,1::1038,1::1545,1
29,1::1043,1::745,1
30,1::1043,1::2294,1
31,1::1061,1::3186,1
32,1::1061,1::1566,1
33,1::1043,1::588,1
34,1::1043,1::1907,1
35,1::1068,1::783,1
36,1::1043,1::1836,1
37,1::1043,1::1022,1
38,1::1048,1::2762,1
39,1::1048,1::150,1
40,1::1061,1::1,1
41,Unknown,1::1961,1
42,1::1,1::1962,1
43,1::1963,1::2692,1
44,1::1,1::260,1
45,1::1,1::1028,1
46,1::1030,1::1029,1
47,1::1029,1::1207,1
48,1::1208,1::2028,0
49,1::2029,1::531,1
50,1::1000,1::3114,1
51,1::3058,1::608,1
52,1::1000,1::1246,1
53,2::1234,2::1357,1
54,2::2348,2::3068,1
55,2::542,2::1537,1
56,2::1246,2::647,1
57,2::1249,2::2194,1
58,2::1061,2::648,1
59,2::1241,2::2268,1
60,2::1243,2::2628,1
61,2::3414,2::1103,1
62,2::1377,2::2916,1
63,2::1088,2::3468,1
64,2::1141,2::1210,1
65,2::2756,2::1792,1
66,2::  Unknown,2::1687,1
67,2::  Unknown,2::1213,1
68,2::1795,2::3578,1
69,2::1061,2::2881,1
70,2::1134,2::3030,1
71,2::1131,2::1217,1
72,2::1795,2::3105,1
73,2::1098,2::434,1
74,2::1098,2::2126,1
75,2::1061,2::3107,1
76,2::4348,2::3108,1
77,2::3109,2::3035,1
78,2::3109,2::1253,1
79,2::3109,2::1610,1
80,2::3048,2::292,1
81,2::3109,2::2236,1
82,2::3109,2::3071,1
83,2::1248,2::902,1
84,2::1248,2::368,1
85,2::1219,2::1259,0
86,2::1618,2::3147,1
87,2::1102,2::1544,1
88,2::3058,2::1293,1
89,2::3058,2::1188,1
90,2::293,2::3255,1
91,2::1189,2::3256,1
92,2::1189,2::3257,1
93,2::3258,2::110,1
94,2::1101,2::2278,1
95,2::1109,2::2490,1
96,2::1101,2::1834,1
97,2::1835,2::3471,1
98,2::1102,2::589,1
99,2::1102,2::1690,1
100,Unknown,2::3654,1
101,2::1238,2::2852,1
102,2::1234,2::1945,1
103,2::1238,2::982,1
104,2::1231,2::1873,1
105,2::2068,2::2858,1
106,2::1941,2::1225,1
107,2::1946,2::2028,1
108,2::1945,2::515,1
109,2::1945,2::442,1
110,2::1945,2::2312,1
111,2::1945,2::265,1
112,2::1945,2::1408,1
113,2::215,2::1084,1
114,2::215,2::3699,1
115,2::2153,2::480,1
116,2::1063,2::1442,1
117,2::  Unknown,2::2067,1
118,2::,2::1265,1
119,2::1945,2::1370,1
120,2::,2::1193,1
121,2::1061,2::1801,0
122,2::  Unknown,2::1372,1
123,2::1061,2::2353,1
124,2::1068,2::3334,1
125,2::1061,2::2427,1
126,2::1061,2::590,1
127,2::1061,2::1196,1
128,2::1802,2::1552,1
129,2::1848,2::736,1
130,2::1061,2::1198,1
131,2::  Unknown,2::593,1
132,2::1375,2::2359,1
133,2::2421,2::95,1
134,2::106,2::2717,1
135,2::1063,2::2571,1
136,2::1061,2::1917,1
137,2::1063,2::2396,1
138,2::1063,2::3735,1
139,2::106,2::1953,1
140,2::1061,2::1597,1
141,2::1061,2::3809,1
142,2::1061,2::1954,1
143,2::1061,2::1955,1
144,2::1956,2::235,1
145,2::194,2::1124,1
146,2::1068,2::1957,1
147,2::1958,2::163,1
148,2::1958,2::21,1
149,2::106,2::165,0
150,2::123,2::2321,1
151,2::123,2::1090,1
152,2::1234,2::380,1
153,2::123,2::2501,1
154,2::123,2::349,1
155,2::123,2::457,1
156,2::123,2::1096,1
157,2::1802,2::920,1
158,2::1061,2::459,1
159,2::1097,2::1527,1
160,2::1061,2::3418,1
161,2::1061,2::1385,1
162,2::1061,2::3451,1
163,2::1068,2::3095,1
164,2::1061,2::780,1
165,2::1061,2::498,1
166,2::1061,2::2728,1
167,2::1061,2::2002,1
168,2::1061,2::1962,1
169,2::1061,2::1784,1
170,2::1061,2::2943,1
171,2::1061,2::2006,1
172,2::2008,2::318,1
173,2::106,2::1207,1
174,2::109,2::1968,1
175,2::2009,2::3678,1
176,2::2009,2::1244,1
177,2::2009,2::356,1
178,2::109,2::1245,1
179,2::2009,2::1246,1
180,2::1247,2::3893,1
181,2::1247,2::1247,0
182,3::1259,3::3421,1
183,3::1248,3::1641,1
184,3::2345,3::648,1
185,3::1248,3::1394,1
186,3::1248,3::3534,1
187,3::1248,3::104,1
188,3::,3::2735,1
189,3::,3::1210,1
190,3::,3::1431,1
191,3::,3::3868,1
192,3::,3::1079,1
193,3::2739,3::2997,1
194,3::,3::1615,1
195,3::,3::1291,1
196,3::,3::1259,1
197,3::2002,3::653,1
