MovieID,GeneratedTitle,RealTitle,ErrorFlag
1,Toy Story,Toy Story (1995),0
2,Jumanji,Jumanji (1995),1
3,Grumpier Old Men,Grumpier Old Men (1995),0
4,Apollo 13,Waiting to Exhale (1995),1
5,The Mask,Father of the Bride Part II (1995),1
6,The Mask,Heat (1995),1
7,The Big Lebowski,Sabrina (1995),1
8,The Client,Tom and Huck (1995),1
9,The Baby-Sitters Club,Sudden Death (1995),1
10,The Client,GoldenEye (1995),1
11,The Rock,"American President, The (1995)",1
12,The Ice Storm,Dracula: Dead and Loving It (1995),1
13,The Mask,Balto (1995),1
14,The Rocketeer,Nixon (1995),1
15,The Rocketeer,Cutthroat Island (1995),1
16,The Rocketeer,Casino (1995),1
17,The Rocketeer,Sense and Sensibility (1995),1
18,The Client,Four Rooms (1995),1
19,The Rock,Ace Ventura: When Nature Calls (1995),1
20,The Ice Storm,Money Train (1995),1
21,The Ice Storm,Get Shorty (1995),1
22,The Rock,Copycat (1995),1
23,The Client,Assassins (1995),1
24,The Rock,Powder (1995),1
25,The Rock,Leaving Las Vegas (1995),1
26,The Ice Storm,Othello (1995),1
27,The Ice Storm,Now and Then (1995),1
28,The Thin Red Line,Persuasion (1995),1
29,The Ice Storm,"City of Lost Children, The (CitÃ© des enfants perdus, La) (1995)",1
30,The Ice Storm,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1
31,The Ice Storm,Dangerous Minds (1995),1
32,The Rock,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1
34,The Rock,Babe (1995),1
36,The Client,Dead Man Walking (1995),1
38,The Client,It Takes Two (1995),1
39,The Ice Storm,Clueless (1995),1
40,The Ice Storm,"Cry, the Beloved Country (1995)",1
41,The Ice Storm,Richard III (1995),1
42,The Ice Storm,Dead Presidents (1995),1
43,The Thin Red Line,Restoration (1995),1
44,The Ice Storm,Mortal Kombat (1995),1
45,The Rock,To Die For (1995),1
46,The Ice Storm,How to Make an American Quilt (1995),1
47,The Ice Storm,Seven (a.k.a. Se7en) (1995),1
48,The Ice Storm,Pocahontas (1995),1
49,The Rock,When Night Is Falling (1995),1
50,The Ice Storm,"Usual Suspects, The (1995)",1
52,The Ice Storm,Mighty Aphrodite (1995),1
53,The Ice Storm,Lamerica (1994),1
54,The Ice Storm,"Big Green, The (1995)",1
55,The Shawshank Redemption,Georgia (1995),1
57,The Straight Story,Home for the Holidays (1995),1
58,The Ice Storm,"Postman, The (Postino, Il) (1994)",1
60,The Piano,"Indian in the Cupboard, The (1995)",1
61,The Ice Storm,Eye for an Eye (1996),1
62,The Ice Storm,Mr. Holland's Opus (1995),1
63,The Ice Storm,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1
64,The Ice Storm,Two if by Sea (1996),1
65,The Ice Storm,Bio-Dome (1996),1
66,The Ice Storm,Lawnmower Man 2: Beyond Cyberspace (1996),1
68,The Ice Storm,French Twist (Gazon maudit) (1995),1
69,The Ice Storm,Friday (1995),1
70,The Ice Storm,From Dusk Till Dawn (1996),1
71,The Ice Storm,Fair Game (1995),1
72,The Ice Storm,Kicking and Screaming (1995),1
73,The Ice Storm,"MisÃ©rables, Les (1995)",1
74,The Ice Storm,Bed of Roses (1996),1
75,The Ice Storm,Big Bully (1996),1
76,The Ice Storm,Screamers (1995),1
77,The Ice Storm,Nico Icon (1995),1
78,The Ice Storm,"Crossing Guard, The (1995)",1
79,The Ice Storm,"Juror, The (1996)",1
80,The Ice Storm,"White Balloon, The (Badkonake sefid) (1995)",1
81,The Ice Storm,Things to Do in Denver When You're Dead (1995),1
82,The Ice Storm,Antonia's Line (Antonia) (1995),1
83,The Ice Storm,Once Upon a Time... When We Were Colored (1995),1
85,The Ice Storm,Angels and Insects (1995),1
86,The Ice Storm,White Squall (1996),1
87,The Ice Storm,Dunston Checks In (1996),1
88,The Ice Storm,Black Sheep (1996),1
89,The Ice Storm,Nick of Time (1995),1
92,The Ice Storm,Mary Reilly (1996),1
93,The Ice Storm,Vampire in Brooklyn (1995),1
94,The Ice Storm,Beautiful Girls (1996),1
95,The Ice Storm,Broken Arrow (1996),1
96,The Ice Storm,In the Bleak Midwinter (1995),1
97,The Ice Storm,"Hate (Haine, La) (1995)",1
99,The Ice Storm,Heidi Fleiss: Hollywood Madam (1995),1
100,The Ice Storm,City Hall (1996),1
101,The Ice Storm,Bottle Rocket (1996),1
102,The Ice Storm,Mr. Wrong (1996),1
103,The Ice Storm,Unforgettable (1996),1
104,The Ice Storm,Happy Gilmore (1996),1
105,The Ice Storm,"Bridges of Madison County, The (1995)",1
106,The Ice Storm,Nobody Loves Me (Keiner liebt mich) (1994),1
107,The Ice Storm,Muppet Treasure Island (1996),1
108,The Ice Storm,Catwalk (1996),1
110,The Ice Storm,Braveheart (1995),1
111,The Ice Storm,Taxi Driver (1976),1
112,The Ice Storm,Rumble in the Bronx (Hont faan kui) (1995),1
113,The Shawshank Redemption,Before and After (1996),1
116,The Big Lebowski,Anne Frank Remembered (1995),1
117,The Piano,"Young Poisoner's Handbook, The (1995)",1
118,The Ice Storm,If Lucy Fell (1996),1
119,The Ice Storm,"Steal Big, Steal Little (1995)",1
121,The Ice Storm,"Boys of St. Vincent, The (1992)",1
122,The Ice Storm,Boomerang (1992),1
123,The Thin Red Line,Chungking Express (Chung Hing sam lam) (1994),1
126,The Joy Luck Club,"NeverEnding Story III, The (1994)",1
128,The Ice Storm,Jupiter's Wife (1994),1
129,The Joy Luck Club,Pie in the Sky (1996),1
132,The Joy Luck Club,Jade (1995),1
135,The Ice Storm,Down Periscope (1996),1
137,The Ice Storm,Man of the Year (1995),1
140,The Ice Storm,Up Close and Personal (1996),1
141,The Ice Storm,"Birdcage, The (1996)",1
144,The Ice Storm,"Brothers McMullen, The (1995)",1
145,The Ice Storm,Bad Boys (1995),1
146,Bad Boys II,"Amazing Panda Adventure, The (1995)",1
147,The Ice Storm,"Basketball Diaries, The (1995)",1
148,Bull Durham,"Awfully Big Adventure, An (1995)",1
149,Bull Durham,Amateur (1994),1
150,Apt Pupil,Apollo 13 (1995),1
151,Apollo 13,Rob Roy (1995),1
152,The Ice Storm,"Addiction, The (1995)",1
153,Apt Pupil,Batman Forever (1995),1
154,Batman & Robin,Beauty of the Day (Belle de jour) (1967),1
155,Bull Durham,Beyond Rangoon (1995),1
156,Bull Durham,Blue in the Face (1995),1
157,Bull Durham,Canadian Bacon (1995),1
158,Cape Fear,Casper (1995),1
159,Coyote Ugly,Clockers (1995),1
160,Coyote Ugly,Congo (1995),1
161,Coyote Ugly,Crimson Tide (1995),1
162,Cry Freedom,Crumb (1994),1
163,Cry Freedom,Desperado (1995),1
164,Desperate Measures,Devil in a Blue Dress (1995),1
165,Dinotopia,Die Hard: With a Vengeance (1995),1
166,Dinotopia,"Doom Generation, The (1995)",1
168,Drowning by Numbers,First Knight (1995),1
169,Fool's Gold,Free Willy 2: The Adventure Home (1995),1
170,Free Willy,Hackers (1995),1
171,Halloween H20: 20 Years Later,Jeffrey (1995),1
172,Journey to the Center of the Earth,Johnny Mnemonic (1995),1
173,Junk,Judge Dredd (1995),1
174,Junk,Jury Duty (1995),1
175,Jury,Kids (1995),1
176,Kiss of Death,Living in Oblivion (1995),1
177,Lone Star,Lord of Illusions (1995),1
178,The Shawshank Redemption,Love & Human Remains (1993),1
179,The Big Lebowski,Mad Love (1995),1
180,The Ice Storm,Mallrats (1995),1
181,The Big Lebowski,Mighty Morphin Power Rangers: The Movie (1995),1
183,The Mask,Mute Witness (1994),1
184,The Client,Nadja (1994),1
185,The Big Lebowski,"Net, The (1995)",1
186,The Big Lebowski,Nine Months (1995),1
187,The Ice Storm,Party Girl (1995),1
188,Pulp Fiction,"Prophecy, The (1995)",1
189,The Baby-Sitters Club,Reckless (1995),1
190,Ruthless People,Safe (1995),1
191,Scream,"Scarlet Letter, The (1995)",1
193,The Bridges of Madison County,Showgirls (1995),1
194,Scream,Smoke (1995),1
195,The Client,Something to Talk About (1995),1
196,The Baby-Sitters Club,Species (1995),1
198,The Baby-Sitters Club,Strange Days (1995),1
199,The Bridges of Madison County,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1
201,A League of Their Own,Three Wishes (1995),1
202,The Ice Storm,Total Eclipse (1995),1
203,The Bridges of Madison County,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1
204,True Romance,Under Siege 2: Dark Territory (1995),1
205,Unbreakable,Unstrung Heroes (1995),1
206,Unnatural History,Unzipped (1995),1
207,Unleashed,"Walk in the Clouds, A (1995)",1
208,Wishmaster,Waterworld (1995),1
209,Wishmaster,White Man's Burden (1995),1
210,Wild Wild West,Wild Bill (1995),1
211,Wild Bill,"Browning Version, The (1994)",1
212,Burning Ambition,Bushwhacked (1995),1
213,Crazy in Alabama,Burnt by the Sun (Utomlyonnye solntsem) (1994),1
214,Crazy in Love,Before the Rain (Pred dozhdot) (1994),1
215,Burning Love,Before Sunrise (1995),1
216,Before Sunset,Billy Madison (1995),1
217,Bull Durham,"Babysitter, The (1995)",1
218,Babes in Toyland,Boys on the Side (1995),1
219,Bull Durham,"Cure, The (1995)",1
220,"Dance, The",Castle Freak (1995),1
222,Crimson Tide,Circle of Friends (1995),1
223,Coyote Ugly,Clerks (1994),1
224,Clerks II,Don Juan DeMarco (1995),1
225,Drowning,Disclosure (1994),1
227,Drowning,Drop Zone (1994),1
228,Drowning,Destiny Turns on the Radio (1995),1
229,Drowning,Death and the Maiden (1994),1
230,Drowning,Dolores Claiborne (1995),1
231,Drowning by Circumstance,Dumb & Dumber (Dumb and Dumber) (1994),1
232,Dumb and Dumber To,Eat Drink Man Woman (Yin shi nan nu) (1994),1
233,Eyes Wide Shut,Exotica (1994),1
234,The Shawshank Redemption,Exit to Eden (1994),1
235,The Big Lebowski,Ed Wood (1994),1
236,The Big Lebowski,French Kiss (1995),1
237,The Ice Storm,Forget Paris (1995),1
238,The Ice Storm,Far From Home: The Adventures of Yellow Dog (1995),1
239,The Ice Storm,"Goofy Movie, A (1995)",1
240,The Mask,Hideaway (1995),1
241,The Ice Storm,Fluke (1995),1
242,The Ice Storm,Farinelli: il castrato (1994),1
243,The Ice Storm,Gordy (1995),1
246,The Ice Storm,Hoop Dreams (1994),1
247,Honeymoon in Vegas,Heavenly Creatures (1994),1
248,Hollywood Homicide,Houseguest (1994),1
250,Hollywood Homicide,Heavyweights (Heavy Weights) (1995),1
251,Honeymoon in Vegas,"Hunted, The (1995)",1
252,Hysteria,I.Q. (1994),1
253,Iceman,Interview with the Vampire: The Vampire Chronicles (1994),1
254,Iceman,Jefferson in Paris (1995),1
255,Jumanji,"Jerky Boys, The (1995)",1
256,JFK,Junior (1994),1
257,Jumanji,Just Cause (1995),1
258,Kiss of Death,"Kid in King Arthur's Court, A (1995)",1
259,Kiss of Death,Kiss of Death (1995),0
260,Kiss of Death,Star Wars: Episode IV - A New Hope (1977),1
261,The Big Lebowski,Little Women (1994),1
262,Lucky Number Slevin,"Little Princess, A (1995)",1
263,Lucky Number Slevin,Ladybird Ladybird (1994),1
265,L.A. Story,Like Water for Chocolate (Como agua para chocolate) (1992),1
266,L.A. Story,Legends of the Fall (1994),1
267,Lone Star,Major Payne (1995),1
269,Mighty Joe Young,My Crazy Life (Mi vida loca) (1993),1
270,My Sister Annie's Wedding,Love Affair (1994),1
271,L.A. Story,Losing Isaiah (1995),1
272,Lucky Number Slevin,"Madness of King George, The (1994)",1
273,Man of the House,Mary Shelley's Frankenstein (Frankenstein) (1994),1
274,Maverick,Man of the House (1995),1
275,Man of the House,Mixed Nuts (1994),1
276,My Best Friend's Wedding,Milk Money (1994),1
277,"Mystery, The",Miracle on 34th Street (1994),1
278,My Best Friend's Wedding,Miami Rhapsody (1995),1
279,Mystic Pizza,My Family (1995),1
280,My Sister Annie's Wedding,Murder in the First (1995),1
281,My Sister Annie's Wedding,Nobody's Fool (1994),1
282,North,Nell (1994),1
283,Nell,New Jersey Drive (1995),1
284,New Year's Day,New York Cop (NyÃ» YÃ´ku no koppu) (1993),1
285,New Year's Eve,Beyond Bedlam (1993),1
287,Bobby,Nina Takes a Lover (1994),1
288,Nineteen Eighty-Four,Natural Born Killers (1994),1
289,The Big Lebowski,Only You (1994),1
290,The Big Lebowski,Once Were Warriors (1994),1
291,The Piano,Poison Ivy II (1996),1
292,The Rocketeer,Outbreak (1995),1
293,The Rocketeer,LÃ©on: The Professional (a.k.a. The Professional) (LÃ©on) (1994),1
294,The Piano,"Perez Family, The (1995)",1
295,The Piano,"Pyromaniac's Love Story, A (1995)",1
296,The Rocketeer,Pulp Fiction (1994),1
298,The Piano,Pushing Hands (Tui shou) (1992),1
299,The Piano,Priest (1994),1
300,The Piano,Quiz Show (1994),1
301,The Piano,Picture Bride (Bijo photo) (1994),1
302,The Piano,"Queen Margot (Reine Margot, La) (1994)",1
303,The Piano,"Quick and the Dead, The (1995)",1
304,The Ice Storm,Roommates (1995),1
305,The Big Hit,Ready to Wear (Pret-A-Porter) (1994),1
306,The Ice Storm,Three Colors: Red (Trois couleurs: Rouge) (1994),1
307,The Ice Storm,Three Colors: Blue (Trois couleurs: Bleu) (1993),1
308,Three Colors: Green (Trois couleurs: Vert),Three Colors: White (Trzy kolory: Bialy) (1994),1
310,Three Colors: Green (Trois couleurs: Vert),Rent-a-Kid (1995),1
311,The Ice Storm,Relative Fear (1994),1
312,The Ice Storm,Stuart Saves His Family (1995),1
313,Stuart Saves His Mind,"Swan Princess, The (1994)",1
314,Swan Song,"Secret of Roan Inish, The (1994)",1
315,The Ice Storm,"Specialist, The (1994)",1
316,The Ice Storm,Stargate (1994),1
317,Stargate: The Ark of the Covenant,"Santa Clause, The (1994)",1
318,Santa Claus Is Comin' to Town,"Shawshank Redemption, The (1994)",1
319,Swordfish,Shallow Grave (1994),1
320,Shattered Mirror,Suture (1993),1
321,Swordfish,Strawberry and Chocolate (Fresa y chocolate) (1993),1
322,Strawberry Shortcake,Swimming with Sharks (1995),1
324,Swordfish,"Sum of Us, The (1994)",1
325,Swordfish,National Lampoon's Senior Trip (1995),1
326,Naked,To Live (Huozhe) (1994),1
327,Tales from the Darkside: The Movie,Tank Girl (1995),1
328,Tales from the Darkside: The Movie,Tales from the Crypt Presents: Demon Knight (1995),1
329,Tales from the Crypt Presents: Demon Knight,Star Trek: Generations (1994),1
330,Stir of Echoes,Tales from the Hood (1995),1
331,Tales from the Darkside: The Movie,Tom & Viv (1994),1
332,Tales from the Crypt Presents: Demon Knight,Village of the Damned (1995),1
333,Virtuosity,Tommy Boy (1995),1
334,Tommy Boy,Vanya on 42nd Street (1994),1
335,Viva la Vida,Underneath (1995),1
336,Unbreakable,"Walking Dead, The (1995)",1
337,Wishmaster,What's Eating Gilbert Grape (1993),1
338,What's Love Got to Do with It,Virtuosity (1995),1
339,Virtuosity,While You Were Sleeping (1995),1
340,Wild Things,"War, The (1994)",1
341,War of the Roses,Double Happiness (1994),1
342,The Big Lebowski,Muriel's Wedding (1994),1
343,The Piano,"Baby-Sitters Club, The (1995)",1
344,The Baby-Sitters Club,Ace Ventura: Pet Detective (1994),1
346,The Big Lebowski,Backbeat (1993),1
347,The Big Lebowski,Bitter Moon (1992),1
348,The Fisher King,Bullets Over Broadway (1994),1
349,Bullets Over Broadway,Clear and Present Danger (1994),1
350,Dead Man,"Client, The (1994)",1
351,Dead Man,"Corrina, Corrina (1994)",1
352,Dances with Wolves,Crooklyn (1994),1
353,Dances with Wolves,"Crow, The (1994)",1
354,Dances with Wolves,Cobb (1994),1
355,Cruel Intentions,"Flintstones, The (1994)",1
