RowIndex,GeneratedInteraction,RealInteraction,ErrorFlag
0,2::54,2::51,1
1,2::52,2::52,0
2,2::53,2::53,0
3,2::51,2::54,1
4,2::55,2::55,0
5,2::56,2::56,0
6,2::57,2::57,0
7,2::58,2::58,0
8,2::59,2::59,0
9,2::60,2::60,0
10,2::61,2::61,0
11,2::62,2::62,0
12,2::63,2::63,0
13,2::64,2::64,0
14,2::65,2::65,0
15,2::66,2::66,0
16,2::67,2::67,0
17,2::68,2::68,0
18,2::69,2::69,0
19,2::70,2::70,0
20,2::71,2::71,0
21,2::72,2::72,0
22,2::73,2::73,0
23,2::74,2::74,0
24,2::75,2::75,0
25,2::76,2::76,0
26,2::77,2::77,0
27,2::78,2::78,0
28,2::79,2::79,0
29,2::80,2::80,0
30,2::81,2::81,0
31,2::82,2::82,0
32,2::83,2::83,0
33,2::84,2::84,0
34,2::85,2::85,0
35,2::86,2::86,0
36,2::87,2::87,0
37,2::88,2::88,0
38,2::89,2::89,0
39,2::90,2::90,0
40,2::91,2::91,0
41,2::92,2::92,0
42,2::93,2::93,0
43,2::94,2::94,0
44,2::95,2::95,0
45,2::96,2::96,0
46,2::97,2::97,0
47,2::98,2::98,0
48,2::99,2::99,0
49,2::100,2::100,0
50,3::101,3::101,0
51,3::102,3::102,0
52,3::103,3::103,0
53,3::104,3::104,0
54,3::105,3::105,0
55,3::106,3::106,0
56,3::107,3::107,0
57,3::108,3::108,0
58,3::109,3::109,0
59,3::110,3::110,0
60,3::111,3::111,0
61,3::112,3::112,0
62,3::113,3::113,0
63,3::114,3::114,0
64,3::115,3::115,0
65,3::116,3::116,0
66,3::117,3::117,0
67,3::118,3::118,0
68,3::119,3::119,0
69,3::120,3::120,0
70,3::121,3::121,0
71,3::122,3::122,0
72,3::123,3::123,0
73,3::124,3::124,0
74,3::125,3::125,0
75,3::126,3::126,0
76,3::127,3::127,0
77,3::128,3::128,0
78,3::129,3::129,0
79,3::130,3::130,0
80,3::131,3::131,0
81,3::132,3::132,0
82,3::133,3::133,0
83,3::134,3::134,0
84,3::135,3::135,0
85,3::136,3::136,0
86,3::137,3::137,0
87,3::138,3::138,0
88,3::139,3::139,0
89,3::140,3::140,0
90,3::141,3::141,0
91,3::142,3::142,0
92,3::143,3::143,0
93,3::144,3::144,0
94,3::145,3::145,0
95,3::146,3::146,0
96,3::147,3::147,0
97,3::148,3::148,0
98,3::149,3::149,0
99,3::150,3::150,0
100,4::123,4::51,1
101,4::52,4::53,1
102,4::54,4::64,1
103,4::67,4::65,1
104,4::66,4::70,1
105,4::71,4::72,1
106,4::73,4::77,1
107,4::80,4::151,1
108,4::152,4::152,0
109,4::153,4::153,0
110,4::154,4::154,0
111,4::155,4::155,0
112,4::156,4::156,0
113,4::157,4::157,0
114,4::158,4::158,0
115,4::159,4::159,0
116,4::160,4::160,0
117,4::161,4::161,0
118,4::162,4::162,0
119,4::163,4::163,0
120,4::164,4::164,0
121,4::165,4::165,0
122,4::166,4::166,0
123,4::167,4::167,0
124,4::168,4::168,0
125,4::169,4::169,0
126,4::170,4::170,0
127,4::171,4::171,0
128,4::172,4::172,0
129,4::173,4::173,0
130,4::174,4::174,0
131,4::175,4::175,0
132,4::176,4::176,0
133,4::177,4::177,0
134,4::178,4::178,0
135,4::179,4::179,0
136,4::180,4::180,0
137,4::181,4::181,0
138,4::182,4::182,0
139,4::183,4::183,0
140,4::184,4::184,0
141,4::185,4::185,0
142,4::186,4::186,0
143,4::187,4::187,0
144,4::188,4::188,0
145,4::189,4::189,0
146,4::190,4::190,0
147,4::191,4::191,0
148,4::192,4::192,0
