MovieID,GeneratedTitle,RealTitle,ErrorFlag
3,12 Monkeys,Grumpier Old Men (1995),1
5,12 Monkeys,Father of the Bride Part II (1995),1
6,Get Shorty,Heat (1995),1
7,Apollo 13,Sabrina (1995),1
8,Apollo 13,Tom and Huck (1995),1
9,Apollo 13,Sudden Death (1995),1
10,Apollo 13,GoldenEye (1995),1
11,Apollo 13,"American President, The (1995)",1
12,Apollo 13,Dracula: Dead and Loving It (1995),1
13,Apollo 13,Balto (1995),1
14,Apollo 13,Nixon (1995),1
15,Batman Forever,Cutthroat Island (1995),1
16,Apollo 13,Casino (1995),1
17,Apollo 13,Sense and Sensibility (1995),1
18,Apollo 13,Four Rooms (1995),1
19,Apollo 13,Ace Ventura: When Nature Calls (1995),1
20,Batman Forever,Money Train (1995),1
21,Batman Forever,Get Shorty (1995),1
22,Apollo 13,Copycat (1995),1
23,Apollo 13,Assassins (1995),1
24,Batman Forever,Powder (1995),1
25,Batman Forever,Leaving Las Vegas (1995),1
26,Rob Roy,Othello (1995),1
27,Rob Roy,Now and Then (1995),1
28,Apollo 13,Persuasion (1995),1
29,Apollo 13,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",1
30,Rob Roy,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1
31,Rob Roy,Dangerous Minds (1995),1
32,Apollo 13,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1
34,Apollo 13,Babe (1995),1
36,Apollo 13,Dead Man Walking (1995),1
38,Apollo 13,It Takes Two (1995),1
39,Apollo 13,Clueless (1995),1
40,Apollo 13,"Cry, the Beloved Country (1995)",1
41,Rob Roy,Richard III (1995),1
42,Rob Roy,Dead Presidents (1995),1
43,Apollo 13,Restoration (1995),1
44,Apollo 13,Mortal Kombat (1995),1
45,Apollo 13,To Die For (1995),1
46,Apollo 13,How to Make an American Quilt (1995),1
47,Rob Roy,Seven (a.k.a. Se7en) (1995),1
48,Apollo 13,Pocahontas (1995),1
49,Apollo 13,When Night Is Falling (1995),1
50,Apollo 13,"Usual Suspects, The (1995)",1
52,Apollo 13,Mighty Aphrodite (1995),1
53,Apollo 13,Lamerica (1994),1
54,Crimson Tide,"Big Green, The (1995)",1
57,The Usual Suspects,Home for the Holidays (1995),1
58,12 Monkeys,"Postman, The (Postino, Il) (1994)",1
60,Apollo 13,"Indian in the Cupboard, The (1995)",1
61,12 Monkeys,Eye for an Eye (1996),1
62,The Rock,Mr. Holland's Opus (1995),1
63,12 Monkeys,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1
64,The Rock,Two if by Sea (1996),1
65,The Rock,Bio-Dome (1996),1
66,The Rock,Lawnmower Man 2: Beyond Cyberspace (1996),1
68,The Rock,French Twist (Gazon maudit) (1995),1
69,The Rock,Friday (1995),1
70,The Associate,From Dusk Till Dawn (1996),1
71,The Rock,Fair Game (1995),1
72,The Associate,Kicking and Screaming (1995),1
73,The Associate,"Mis̩rables, Les (1995)",1
74,The Associate,Bed of Roses (1996),1
75,The Associate,Big Bully (1996),1
76,The Rock,Screamers (1995),1
77,The Rock,Nico Icon (1995),1
78,The Associate,"Crossing Guard, The (1995)",1
79,Ransom,"Juror, The (1996)",1
80,Ransom,"White Balloon, The (Badkonake sefid) (1995)",1
81,Sudden Death,Things to Do in Denver When You're Dead (1995),1
82,Sudden Death,Antonia's Line (Antonia) (1995),1
83,Crimson Tide,Once Upon a Time... When We Were Colored (1995),1
85,Crimson Tide,Angels and Insects (1995),1
86,The Associate,White Squall (1996),1
87,The Associate,Dunston Checks In (1996),1
88,The Associate,Black Sheep (1996),1
89,The Associate,Nick of Time (1995),1
92,The Associate,Mary Reilly (1996),1
93,The Associate,Vampire in Brooklyn (1995),1
94,The Associate,Beautiful Girls (1996),1
95,The Associate,Broken Arrow (1996),1
96,The Associate,In the Bleak Midwinter (1995),1
97,The Associate,"Hate (Haine, La) (1995)",1
99,The Associate,Heidi Fleiss: Hollywood Madam (1995),1
100,The Associate,City Hall (1996),1
101,The Associate,Bottle Rocket (1996),1
102,The Associate,Mr. Wrong (1996),1
103,The Associate,Unforgettable (1996),1
104,The Associate,Happy Gilmore (1996),1
105,The Associate,"Bridges of Madison County, The (1995)",1
106,The Associate,Nobody Loves Me (Keiner liebt mich) (1994),1
107,The Associate,Muppet Treasure Island (1996),1
108,The Associate,Catwalk (1996),1
110,The Associate,Braveheart (1995),1
111,The Associate,Taxi Driver (1976),1
112,The People vs. Larry Flynt,Rumble in the Bronx (Hont faan kui) (1995),1
113,The Shawshank Redemption,Before and After (1996),1
116,The Rock,Anne Frank Remembered (1995),1
117,The Usual Suspects,"Young Poisoner's Handbook, The (1995)",1
118,The Usual Suspects,If Lucy Fell (1996),1
119,The Associate,"Steal Big, Steal Little (1995)",1
121,The Associate,"Boys of St. Vincent, The (1992)",1
122,Sirens,Boomerang (1992),1
123,Hook,Chungking Express (Chung Hing sam lam) (1994),1
125,Crimson Tide,Flirting With Disaster (1996),1
126,The Associate,"NeverEnding Story III, The (1994)",1
128,The Associate,Jupiter's Wife (1994),1
129,Sirens,Pie in the Sky (1996),1
132,The Associate,Jade (1995),1
135,Sudden Death,Down Periscope (1996),1
137,The Associate,Man of the Year (1995),1
140,The Associate,Up Close and Personal (1996),1
141,The Associate,"Birdcage, The (1996)",1
144,Sudden Death,"Brothers McMullen, The (1995)",1
145,Sneakers,Bad Boys (1995),1
146,Crimson Tide,"Amazing Panda Adventure, The (1995)",1
147,Crimson Tide,"Basketball Diaries, The (1995)",1
148,Crimson Tide,"Awfully Big Adventure, An (1995)",1
149,Belly,Amateur (1994),1
150,American Strays,Apollo 13 (1995),1
151,Arabian Nights,Rob Roy (1995),1
152,Crimson Tide,"Addiction, The (1995)",1
153,Under Siege 2: Dark Territory,Batman Forever (1995),1
154,Crimson Tide,Beauty of the Day (Belle de jour) (1967),1
155,Belly,Beyond Rangoon (1995),1
156,Blast from the Past,Blue in the Face (1995),1
157,Blast from the Past,Canadian Bacon (1995),1
158,Crimson Tide,Casper (1995),1
159,Crimson Tide,Clockers (1995),1
160,Crimson Tide,Congo (1995),1
161,Crimson Tide,Crimson Tide (1995),0
162,Crosstown Traffic,Crumb (1994),1
163,Crown of the Sun,Desperado (1995),1
164,"Devil's Own, The",Devil in a Blue Dress (1995),1
165,Don Juan DeMarco,Die Hard: With a Vengeance (1995),1
166,Down Periscope,"Doom Generation, The (1995)",1
168,El Mariachi,First Knight (1995),1
169,Get Shorty,Free Willy 2: The Adventure Home (1995),1
170,Get Shorty,Hackers (1995),1
171,Higher Learning,Jeffrey (1995),1
172,Kiss of Death,Johnny Mnemonic (1995),1
173,Kiss of Death,Judge Dredd (1995),1
174,Kiss of Death,Jury Duty (1995),1
175,Kiss of Death,Kids (1995),1
176,Kiss of Death,Living in Oblivion (1995),1
177,Money Train,Lord of Illusions (1995),1
178,The Shawshank Redemption,Love & Human Remains (1993),1
179,The Shawshank Redemption,Mad Love (1995),1
180,The Associate,Mallrats (1995),1
181,A Walk in the Clouds,Mighty Morphin Power Rangers: The Movie (1995),1
183,Money Train,Mute Witness (1994),1
184,My Best Friend's Wedding,Nadja (1994),1
185,Naked in New York,"Net, The (1995)",1
186,New Jersey Drive,Nine Months (1995),1
187,Nowhere to Go,Party Girl (1995),1
188,Pocahontas,"Prophecy, The (1995)",1
189,Ransom,Reckless (1995),1
190,RoboCop 3,Safe (1995),1
191,Safe Men,"Scarlet Letter, The (1995)",1
193,Senseless,Showgirls (1995),1
194,Something to Talk About,Smoke (1995),1
195,Strangers in the Night,Something to Talk About (1995),1
196,Strangers in the Night,Species (1995),1
198,Strangers in the Night,Strange Days (1995),1
199,Striptease,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1
201,Waterworld,Three Wishes (1995),1
202,Under Siege 2: Dark Territory,Total Eclipse (1995),1
203,Truth or Dare,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1
204,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory (1995),0
205,Under Siege,Unstrung Heroes (1995),1
206,Virtuosity,Unzipped (1995),1
207,Up Close & Personal,"Walk in the Clouds, A (1995)",1
208,Waterworld,Waterworld (1995),0
209,While You Were Sleeping,White Man's Burden (1995),1
210,While You Were Sleeping,Wild Bill (1995),1
211,Witness,"Browning Version, The (1994)",1
212,Crimson Tide,Bushwhacked (1995),1
213,Crimson Tide,Burnt by the Sun (Utomlyonnye solntsem) (1994),1
214,Crimson Tide,Before the Rain (Pred dozhdot) (1994),1
215,Crimson Tide,Before Sunrise (1995),1
216,Before Sunset,Billy Madison (1995),1
217,Black Sheep,"Babysitter, The (1995)",1
218,Blast from the Past,Boys on the Side (1995),1
219,Crimson Tide,"Cure, The (1995)",1
220,Crimson Tide,Castle Freak (1995),1
222,Crimson Tide,Circle of Friends (1995),1
223,Crimson Tide,Clerks (1994),1
224,Crimson Tide,Don Juan DeMarco (1995),1
225,Dolores Claiborne,Disclosure (1994),1
227,Four Weddings and a Funeral,Drop Zone (1994),1
228,Ed,Destiny Turns on the Radio (1995),1
