UserID,RealUser,GeneratedUser,ErrorFlag
1,1::F::1::10::48067,1::F::1::10::48067,0
2,2::M::56::16::70072,2::M::56::16::70072,0
3,3::M::25::15::55117,3::M::25::15::55117,0
4,4::M::34::7::48067,4::M::45::7::02460,0
5,5::M::39::18::02134,5::M::25::20::55455,1
6,6::M::35::10::55455,6::F::50::9::55117,1
7,7::M::46::10::48067,7::M::35::1::06810,1
8,8::M::28::14::55117,8::M::25::12::11413,1
9,9::M::45::6::48067,9::M::25::17::61614,1
10,10::M::35::6::55117,10::F::35::1::95370,1
11,11::M::35::1::06810,11::F::25::1::04093,1
12,12::M::35::1::06810,12::M::25::12::32793,1
13,13::M::35::1::06810,13::M::45::1::93304,0
14,14::M::25::1::48067,14::M::35::0::60126,1
15,15::M::25::1::48067,15::M::25::7::22903,1
16,16::M::35::1::06810,16::F::35::0::20670,1
17,17::M::45::1::48067,17::M::50::1::95350,0
18,18::M::35::1::06810,18::F::18::3::95825,1
19,19::M::35::1::06810,19::M::1::10::48073,1
20,20::M::35::1::06811,20::M::25::14::55113,1
21,21::M::35::1::06811,21::M::18::16::99353,1
22,22::M::25::1::53706,22::M::18::15::53706,0
23,23::M::25::1::55117,23::M::35::0::90049,1
24,24::M::25::1::94057,24::F::25::7::10023,1
25,25::M::25::1::10023,25::M::18::4::01609,1
26,26::M::25::1::10003,26::M::25::7::23112,1
27,27::M::25::7::23112,27::M::25::11::19130,1
28,28::M::25::11::19130,28::F::25::1::14607,1
29,29::M::25::1::10003,29::M::35::7::33407,1
30,30::M::25::1::10003,30::F::35::7::10003, 0
31,31::M::25::1::10003,31::M::56::7::06840,1
32,32::M::25::11::19130,32::F::25::0::19355,1
33,33::M::25::1::10003,33::M::45::3::55421,1
34,34::M::25::11::19130,34::F::18::0::02135,1
35,35::M::25::1::10021,35::M::45::1::02482,0
36,36::M::25::7::10023,36::M::25::3::94123,1
37,37::M::25::1::94093,37::F::25::9::66212,1
38,38::M::25::7::10024,38::F::18::4::02215,1
39,39::M::25::7::10024,39::M::18::4::61820,1
40,40::M::25::7::10024,40::M::45::0::10543,1
41,41::M::25::7::10024,41::F::18::4::15116,1
42,42::M::25::7::10023,42::M::25::8::24502,1
43,43::M::25::7::10023,43::M::25::12::60614,1
44,44::M::25::7::10024,44::M::45::17::98052,1
45,45::M::25::7::10024,45::F::45::16::94110,1
46,46::M::25::7::10023,46::M::18::19::75602,1
47,47::M::25::0::10023,47::M::18::4::94305,1
48,48::M::25::7::10024,48::M::25::4::92107,1
49,49::M::18::4::94305,49::M::18::12::77084,1
50,50::M::25::7::10024,50::F::25::2::98133,1
51,51::M::39::1::02116,51::F::1::10::10562,1
52,52::M::39::1::02134,52::M::18::4::72212,1
53,53::M::37::1::02134,53::M::25::0::96931,1
54,54::M::37::0::02134,54::M::50::1::56723,1
55,55::M::45::1::02134,55::F::35::12::55303,1
56,56::M::45::1::02134,56::M::35::20::60440,1
57,57::M::45::1::02181,57::M::18::19::30350,1
58,58::M::50::1::48035,58::M::25::2::30303,1
59,59::M::50::1::48007,59::F::50::1::55413,1
60,60::M::50::1::55413,60::M::50::1::72118,0
61,61::M::50::1::02193,61::M::25::17::95122,1
62,62::M::50::1::02193,62::F::35::3::98105,1
63,63::M::50::1::98105,63::M::18::4::54902,1
64,64::M::50::1::98105,64::M::18::1::53706,1
65,65::M::50::1::54906,65::M::35::12::55803,1
66,66::M::50::1::55903,66::M::25::18::57706,1
67,67::M::18::19::30350,67::F::50::5::60181,1
68,68::M::18::19::30350,68::M::18::4::53706,1
69,69::M::18::4::53706,69::F::25::1::02143,1
70,70::M::18::4::53706,70::M::18::4::53703,0
71,71::M::18::4::53706,71::M::25::14::95008,1
72,72::M::18::4::53706,72::F::45::0::55122,1
73,73::M::18::4::53706,73::M::18::4::53706,0
74,74::M::18::4::53703,74::M::35::14::94530,1
75,75::M::18::4::53703,75::F::1::10::01748,1
76,76::M::18::4::53706,76::M::35::7::55413,0
77,77::M::18::4::53706,77::M::18::4::15321,0
78,78::M::18::4::53706,78::F::45::1::98029,1
79,79::M::18::4::53706,79::F::45::0::98103,1
80,80::M::18::4::98029,80::M::56::1::49327,1
81,81::M::18::4::53706,81::F::25::0::60640,1
82,82::M::18::4::98103,82::M::25::17::48380,1
83,83::M::18::4::98103,83::F::25::2::94609,1
84,84::M::18::4::98103,84::M::18::4::53140,0
85,85::M::18::4::53140,85::M::18::4::94945,0
86,86::M::18::4::53140,86::F::1::10::54467,1
87,87::M::18::4::53140,87::M::25::14::48360,1
88,88::M::18::4::53140,88::F::45::1::02476,1
89,89::M::18::4::53140,89::F::56::9::85749,1
90,90::M::18::4::53140,90::M::56::13::85749,1
91,91::M::18::4::53140,91::M::35::7::07650,1
92,92::M::18::4::53140,92::F::18::4::44243,1
93,93::M::18::4::44243,93::M::25::17::95825,1
94,94::M::18::4::53140,94::M::25::17::28601,1
95,95::M::18::4::53140,95::M::45::0::98201,1
96,96::M::18::4::53140,96::F::25::16::78028,1
97,97::M::18::4::53140,97::F::35::3::66210,1
98,98::M::18::4::53140,98::F::35::7::33547,1
99,99::M::18::4::53140,99::F::1::10::19390,1
100,100::M::56::1::49327,100::M::35::17::95401,1
102,102::M::62::4::33176,102::M::35::19::20871,1
103,103::M::35::19::20871,103::M::45::7::92104,1
104,104::M::35::19::20871,104::M::25::12::00926,1
105,105::M::35::19::20871,105::M::45::12::90277,1
106,106::M::35::19::20871,106::F::35::11::79101,1
107,107::M::45::7::94124,107::M::45::18::63129,1
108,108::M::35::18::63129,108::M::25::12::30316,1
109,109::M::45::18::63129,109::M::45::15::92028,1
110,110::M::35::18::94057,110::M::25::2::90803,1
111,111::M::35::11::79101,111::M::35::15::55416,1
112,112::M::45::18::63129,112::M::25::16::97209,1
113,113::M::35::11::77095,113::M::18::12::37032,1
114,114::M::35::18::63129,114::F::25::2::83712,1
115,115::M::45::18::63129,115::M::25::17::28083,1
116,116::M::35::18::63129,116::M::25::17::55744,1
117,117::M::25::17::55992,117::M::25::17::33314,0
118,118::M::25::17::33314,118::M::35::17::22315,0
119,119::M::25::17::33314,119::F::1::10::77515,1
120,120::M::35::18::33116,120::M::25::11::27106,1
121,121::M::25::11::27106,121::M::35::7::75229,1
122,122::M::25::11::27106,122::F::18::4::94305,1
123,123::M::25::17::55101,123::M::35::17::55101,0
124,124::M::25::11::27106,124::M::56::7::91356,1
125,125::M::35::18::63129,125::M::45::14::01701,1
126,126::M::45::18::63129,126::M::18::9::98117,1
127,127::M::35::18::63129,127::F::45::3::01770,1
128,128::M::45::18::98117,128::M::56::6::37922,1
129,129::M::45::14::01701,129::M::25::11::20164,1
