UserID,RealUser,GeneratedUser,ErrorFlag
1,M::18::clerical/admin::52423,1::F::1::10::48067,1
1,M::18::clerical/admin::52423,1::F::1::10::48067,1
2,M::18::clerical/admin::61702,2::M::56::16::70072,1
3,F::18::14::13210,3::M::25::15::55117,1
4,F::18::14::13210,4::M::45::7::02460,1
5,F::18::14::13210,5::M::25::20::55455,1
6,M::50::14::13210,6::F::50::9::55117,1
7,M::25::7::45238,7::M::35::1::06810,1
8,F::18::14::13210,8::M::25::12::11413,1
9,F::50::14::13210,9::M::25::17::61614,1
10,F::18::14::13210,10::F::35::1::95370,1
11,F::18::14::13210,11::F::25::1::04093,1
12,F::18::14::13210,12::M::25::12::32793,1
13,F::18::14::13210,13::M::45::1::93304,1
14,F::50::14::13210,14::M::35::0::60126,1
15,F::18::14::13210,15::M::25::7::22903,1
16,F::50::14::13210,16::F::35::0::20670,1
17,F::50::14::13210,17::M::50::1::95350,1
18,F::18::3::45209,18::F::18::3::95825,0
19,F::18::14::13210,19::M::1::10::48073,1
20,F::50::14::13210,20::M::25::14::55113,1
21,F::18::14::13210,21::M::18::16::99353,1
22,F::18::14::13210,22::M::18::15::53706,1
23,F::18::14::13210,23::M::35::0::90049,1
24,M::18::14::13210,24::F::25::7::10023,1
25,F::18::14::13210,25::M::18::4::01609,1
26,F::18::14::13210,26::M::25::7::23112,1
27,F::18::14::13210,27::M::25::11::19130,1
28,F::18::14::45209,28::F::25::1::14607,1
29,F::18::14::13210,29::M::35::7::33407,1
30,F::18::14::13210,30::F::35::7::19143,0
31,F::18::14::13210,31::M::56::7::06840,1
32,F::18::14::13210,32::F::25::0::19355,1
33,F::18::14::13210,33::M::45::3::55421,1
34,F::18::14::22003,34::F::18::0::02135,1
35,F::50::14::13210,35::M::45::1::02482,1
36,F::18::14::13210,36::M::25::3::94123,1
37,F::18::14::13210,37::F::25::9::66212,1
38,F::18::14::13210,38::F::18::4::02215,1
39,F::18::14::13210,39::M::18::4::61820,1
40,F::50::14::13210,40::M::45::0::10543,1
41,F::18::14::13210,41::F::18::4::15116,0
42,F::18::14::13210,42::M::25::8::24502,1
43,F::18::14::13210,43::M::25::12::60614,1
44,F::18::14::13210,44::M::45::17::98052,1
45,F::50::14::13210,45::F::45::16::94110,1
46,F::18::14::13210,46::M::18::19::75602,1
47,F::18::14::13210,47::M::18::4::94305,1
48,F::18::14::13210,48::M::25::4::92107,1
49,F::18::14::22063,49::M::18::12::77084,1
50,M::50::14::13210,50::F::25::2::98133,1
51,F::50::14::13210,51::F::1::10::10562,1
52,F::18::14::13210,52::M::18::4::72212,1
53,F::18::14::13210,53::M::25::0::96931,1
54,F::18::14::13210,54::M::50::1::56723,1
55,F::50::14::13210,55::F::35::12::55303,1
56,F::56::0::12345,56::M::35::20::60440,1
57,F::50::14::13210,57::M::18::19::30350,1
58,F::18::14::13210,58::M::25::2::30303,1
59,F::18::14::13210,59::F::50::1::55413,1
60,F::18::14::13210,60::M::50::1::72118,1
61,F::18::14::13210,61::M::25::17::95122,1
62,F::18::14::13210,62::F::35::3::98105,1
63,F::18::14::13210,63::M::18::4::54902,1
64,F::18::14::13210,64::M::18::1::53706,1
65,F::50::14::13210,65::M::35::12::55803,1
66,F::18::14::13210,66::M::25::18::57706,1
67,F::18::14::13210,67::F::50::5::60181,1
68,F::18::14::13210,68::M::18::4::53706,1
69,F::18::14::13210,69::F::25::1::02143,1
70,F::50::14::13210,70::M::18::4::53703,1
71,F::18::14::13210,71::M::25::14::95008,1
72,F::18::14::13210,72::F::45::0::55122,1
73,F::18::14::13210,73::M::18::4::53706,1
74,F::18::14::13210,74::M::35::14::94530,1
75,F::18::14::13210,75::F::1::10::01748,1
76,F::50::14::13210,76::M::35::7::55413,1
77,F::18::14::13210,77::M::18::4::15321,1
78,F::18::14::13210,78::F::45::1::98029,1
79,F::18::14::13210,79::F::45::0::98103,1
80,F::50::14::13210,80::M::56::1::49327,1
81,F::18::14::13210,81::F::25::0::60640,1
82,F::18::14::13210,82::M::25::17::48380,1
83,F::18::14::13210,83::F::25::2::94609,1
84,F::18::14::13210,84::M::18::4::53140,1
85,F::18::3::15267,85::M::18::4::94945,1
86,F::18::14::13210,86::F::1::10::54467,1
87,F::18::14::13210,87::M::25::14::48360,1
88,F::18::14::13210,88::F::45::1::02476,1
89,F::18::14::13210,89::F::56::9::85749,1
90,F::18::14::13210,90::M::56::13::85749,1
91,F::18::14::22083,91::M::35::7::07650,1
92,F::18::14::13210,92::F::18::4::44243,1
93,F::18::14::13210,93::M::25::17::95825,1
94,F::18::14::13210,94::M::25::17::28601,1
95,F::50::14::13210,95::M::45::0::98201,1
96,F::18::14::13210,96::F::25::16::78028,1
97,F::18::14::13210,97::F::35::3::66210,1
98,F::18::14::13210,98::F::35::7::33547,1
99,F::50::14::13210,99::F::1::10::19390,1
100,M::18::14::13210,100::M::35::17::95401,1
101,M::50::14::13210,101::F::18::3::33314,1
102,F::18::14::13210,102::M::35::19::20871,1
103,F::18::14::13210,103::M::45::7::92104,1
104,F::18::14::45209,104::M::25::12::00926,1
105,F::18::14::13210,105::M::45::12::90277,1
106,F::18::14::13210,106::F::35::11::79101,1
107,M::50::14::13210,107::M::45::18::63129,1
108,F::18::14::13210,108::M::25::12::30316,1
109,M::50::14::13210,109::M::45::15::92028,1
110,F::18::14::13210,110::M::25::2::90803,1
111,M::50::14::13210,111::M::35::15::55416,1
112,F::18::14::13210,112::M::25::16::97209,1
113,F::18::14::13210,113::M::18::12::37032,1
114,M::50::14::13210,114::F::25::2::83712,1
115,F::18::14::13210,115::M::25::17::28083,1
116,F::18::14::13210,116::M::25::17::55744,1
117,F::18::14::13210,117::M::25::17::33314,1
118,F::18::14::13210,118::M::35::17::22315,1
119,F::18::14::13210,119::F::1::10::77515,1
120,F::18::14::13210,120::M::25::11::27106,1
121,F::18::14::13210,121::M::35::7::75229,1
122,F::18::14::13210,122::F::18::4::94305,1
123,M::50::14::13210,123::M::35::9::67208,1
124,M::50::14::13210,124::M::56::7::91356,1
125,M::50::14::13210,125::M::45::14::01701,0
126,F::18::14::13210,126::M::18::9::98117,1
127,M::50::14::13210,127::F::45::3::01770,1
128,F::50::14::13210,128::M::56::6::37922,1
129,F::18::14::22000,129::M::25::11::20164,1
130,F::18::14::13210,130::M::35::17::50021,1
131,F::18::14::13210,131::M::18::4::06520,1
132,F::50::14::13210,132::M::25::17::99709,1
133,F::18::14::13210,133::F::25::0::55071,1
134,F::18::14::13210,134::M::25::0::66212,1
135,F::18::14::13210,135::M::18::4::20006,1
136,F::18::14::13210,136::M::18::2::21202,1
137,F::18::14::13210,137::F::45::6::78758,1
138,F::18::14::22003,138::M::18::20::22203,1
139,F::18::14::13210,139::F::25::20::45409,1
140,F::50::14::13210,140::F::35::1::55107,1
141,F::18::14::13210,141::M::35::13::62035,1
142,F::18::14::22083,142::M::25::7::10011,1
